header,date,link,brief,tags
Россия в марте оказалась основным поставщиком огурцов в Польшу ,04:44 20.05.2025,https://ria.ru/20250520/rcgjhn-2017974510.html,Поставки огурцов из России в Польшу подскочили до максимума за четыре года,"Экономика,Польша,Россия,Турция,Евростат,Евросоюз"
Россия в апреле нарастила поставки железа и стали в Южную Корею ,04:18 20.05.2025,https://ria.ru/20250520/rossija-2017973165.html,Россия увеличила экспорт железа в Южную Корею до максимума с декабря 2023 года,"Экономика,Южная Корея,Россия,Китай"
"Эксперт объяснил, какая неделя может стать поворотной для рубля ",03:15 20.05.2025,https://ria.ru/20250520/rubl-2017960608.html,"""Альфа-Форекс"": сейчас складываются фундаментальные факторы для сильного рубля","Экономика,Александр Шнейдерман,Альфа-Форекс,Федеральная служба государственной статистики (Росстат),Рубль,Доллар,Ситуация с курсами валют и ценами на нефть"
Китайская компания заинтересована в строительстве ж/д хаба в ЕАО ,03:14 20.05.2025,https://ria.ru/20250520/stroitelstvo-2017970939.html,Китайская компания может построить ж/д хаб у моста Нижнеленинское — Тунцзян,"Экономика,Китай,Россия,Хэйлунцзян,Российский фонд прямых инвестиций"
Россия в первом квартале сократила поставки муки в Казахстан ,03:13 20.05.2025,https://ria.ru/20250520/eksport-2017970787.html,"Россия сократила экспорт муки в Казахстан до 3,25 миллиона долларов","Экономика,Россия,Казахстан"
Россия вошла в тройку лидеров по экспорту рыбного филе ,03:08 20.05.2025,https://ria.ru/20250520/rossija-2017970407.html,ВАРПЭ: Россия вошла в тройку крупнейших мировых экспортеров рыбного филе,"Экономика,Россия,Великобритания,Китай,Герман Зверев,Евросоюз,СНГ"
"Банки на Кубе могут начать выпускать карты ""Мир"" ",02:10 20.05.2025,https://ria.ru/20250520/banki-2017968080.html,Кубинские банки могут начать выпускать карты российской платежной системы Мир,"Куба,Россия,Экономика"
Intel анонсировала новые графические процессоры для ИИ ,23:29 19.05.2025,https://ria.ru/20250519/intel-2017957792.html,Intel анонсировала графические процессоры Arc Pro для искусственного интеллекта,"Экономика,Технологии,Тайвань,В мире,США,Intel Corporation,ИИ,Искусственный интеллект (ИИ),процессоры"
Более восьми тысяч человек стали участниками KazanForum ,18:03 19.05.2025,https://ria.ru/20250519/forum-2017910697.html,"Росконгресс: участниками KazanForum стали 8,5 тысяч человек из 96 стран","Экономика,Россия,Казань,Республика Татарстан (Татарстан),Антон Кобяков"
Россия инициирует спор в ВТО против ЕС ,17:53 19.05.2025,https://ria.ru/20250519/spor-2017908943.html,РФ инициирует спор в ВТО против ЕС по трансграничному углеродному регулированию,"Экономика,Россия,Болгария,Хорватия,Всемирная торговая организация (ВТО),Евросоюз"
Правительство обсуждает продление запрета на экспорт бензина для трейдеров ,17:38 19.05.2025,https://ria.ru/20250519/zapret-2017903492.html,Запрет экспорта бензина для не производителей могут продлить на сентябрь-октябрь,"Экономика,Россия,Александр Новак,Министерство энергетики РФ (Минэнерго России),Топливо,Бензин,Энергетика"
Новак ответил на вопрос о возможной отмене пошлины КНР на российский уголь ,17:19 19.05.2025,https://ria.ru/20250519/rossija-2017893286.html,Новак: Москва и Пекин ведут переговоры об отмене пошлины на российский уголь,"Экономика,Россия,Китай,Кемеровская область,Александр Новак"
Россия обсуждает вхождение китайских компаний в нефтегазовые проекты ,17:16 19.05.2025,https://ria.ru/20250519/kitay-2017891429.html,Новак: РФ обсуждает вхождение компаний из Китая в проекты по добыче нефти и газа,"Экономика,Россия,Александр Новак,Китай"
"Россия готова увеличить поставки нефти в Китай, заявил Новак ",17:08 19.05.2025,https://ria.ru/20250519/neft-2017886314.html,Новак: Россия по просьбе Китая готова увеличить поставки нефти через Казахстан,"Экономика,Цены на нефть,Россия,Китай,Казахстан,Александр Новак,Транснефть"
РЭЦ представил принципы регулирования трансграничных банкротств ,16:09 19.05.2025,https://ria.ru/20250519/rets-2017869748.html,РЭЦ представил принципы конвенционного регулирования трансграничных банкротств,"Экономика,Российский экспортный центр (РЭЦ)"
МЭР прокомментировало присвоение России суверенного рейтинга за границей ,16:04 19.05.2025,https://ria.ru/20250519/reyting-2017868626.html,МЭР: суверенный рейтинг от CCXI свидетельствует о доверии партнеров к России,"Экономика,Россия,Украина,Германия,Министерство экономического развития РФ (Минэкономразвития России)"
Мишустин назвал поддержку бизнеса участников СВО приоритетом властей ,15:58 19.05.2025,https://ria.ru/20250519/mishustin-2017866228.html,Мишустин: России важно поддерживать бизнес вернувшихся участников спецоперации,"Россия,Михаил Мишустин,Экономика"
"ЕС захотел снизить потолок цен на нефть из России, пишет Reuters ",15:22 19.05.2025,https://ria.ru/20250519/neft-2017851921.html,Reuters: ЕС предложит снизить потолок цен на перевозимую по морю нефть из России,"Экономика,Россия,Евросоюз,В мире,Нефть,Цены на нефть,Энергетика"
Made in Russia расширяет горизонты  партнерства с Китаем ,15:18 19.05.2025,https://ria.ru/20250519/rets-2017850340.html,РЭЦ: Made in Russia расширяет горизонты торгового партнерства с Китаем,"Российский экспортный центр (РЭЦ),Экономика,Китай,Россия"
"РЭЦ рассказал про проблематику споров, связанных с экспортным страхованием ",15:14 19.05.2025,https://ria.ru/20250519/rets-2017849253.html,На площадке ПМЮФ–2025 обсудили актуальные вопросы страховых споров,"Экономика,Экспорт,Российский экспортный центр (РЭЦ)"
Средний чек покупки товаров для ремонта за год вырос на 6% ,15:02 19.05.2025,https://realty.ria.ru/20250519/chek-2017847772.html,"""Лемана Про"": средний чек покупки товаров для ремонта за год вырос на 6%","Экономика,Москва,Ритейл"
Правительство поможет малому и среднему бизнесу выйти на зарубежные рынки  ,14:39 19.05.2025,https://ria.ru/20250519/pravitelstvo-2017841308.html,"Правительство направит 1,5 млрд руб для помощи выходу МСП на зарубежные рынки","Экономика,Россия,Михаил Мишустин,Бизнес,Малое и среднее предпринимательство — МСП (Малый и средний бизнес — МСБ),В мире,Правительство РФ,Китай,Казахстан"
"Китай обновил стандарты для пищевой продукции, сообщил РЭЦ ",11:58 19.05.2025,https://ria.ru/20250519/standarty-2017801829.html,"РЭЦ: Китай обновил стандарты для пищевой продукции, они заработают в сентябре","Экономика,Китай,Россия,Российский экспортный центр (РЭЦ)"
РЭЦ запускает вебинары по взаимодействию с органами валютного контроля ,11:49 19.05.2025,https://ria.ru/20250519/eksport-2017800443.html,"РЭЦ: серия вебинаров по взаимодействию с ОВК пройдет на платформе ""Мой экспорт""","Россия,Федеральная налоговая служба (ФНС России),Федеральная таможенная служба (ФТС России),Российский экспортный центр (РЭЦ),Экономика"
СМИ: Россия впервые с начала СВО получила суверенный рейтинг за границей ,10:30 19.05.2025,https://ria.ru/20250519/svo-2017779058.html,"""Ведомости"": РФ впервые с начала СВО получила суверенный рейтинг за границей","Дмитрий Александров,Россия,Экономика"
Эксперт оценил высокий кредитный рейтинг России от китайского Chengxin  ,10:12 19.05.2025,https://ria.ru/20250519/reyting-2017775309.html,Россия получила первый после начала СВО суверенный кредитный рейтинг за границей,"Экономика,Россия,Украина,Китай,АВИ Кэпитал"
"Пошлины Трампа не вызвали инвестиционного бума в США, пишет Politico ",09:21 19.05.2025,https://ria.ru/20250519/poshliny-2017766969.html,Politico: пошлины Трампа не вызвали всплеска иностранных инвестиций в США,"Экономика,США,Китай,Дональд Трамп,Введение Трампом пошлин на импорт"
С нас хватит: Европа приняла жесткое решение по Украине ,08:00 19.05.2025,https://ria.ru/20250519/ukraina-2017474003.html,Экономист Белхароев: Украину ждет ускоренный процесс стагнации и развала АПК,"Экономика,Польша,Украина,Киев,Евросоюз,Еврокомиссия,Пошлины,мед,украинское зерно,Экспорт"
В Совфеде предложили использовать в каршеринге авто с локализацией в России ,07:31 19.05.2025,https://ria.ru/20250519/karshering-2017757852.html,Кутепов предложил использовать в каршеринге автомобили с локализацией в России,"Экономика,Россия,Москва,Андрей Кутепов,Авто"
Российский рынок акций начал утро с резкого роста ,07:12 19.05.2025,https://ria.ru/20250519/rynok-2017756700.html,Российский рынок акций утром растет до 2900 пунктов по индексу Мосбиржи,"Экономика,Московская биржа,Россия"
Магаданские рыбаки выловят в этом году десять тысяч тонн лосося ,06:21 19.05.2025,https://ria.ru/20250519/losos-2017754366.html,Магаданским рыбакам разрешили выловить десять тысяч тонн лосося в 2025 году,"Экономика,Магаданская область"
В Хабаровске открылся российско-китайский форум ,05:25 19.05.2025,https://ria.ru/20250519/khabarovsk-2017752368.html,В Хабаровске открыли Аллею дружбы в честь 30-летия отношений с Хэйлунцзяном,"Китай,Россия,Большой Уссурийский (остров),Дмитрий Демешин,Владимир Путин,Си Цзиньпин,Экономика,Хабаровск"
"В Китае любят российские продукты, заявил Титов ",05:21 19.05.2025,https://ria.ru/20250519/kitaj-2017752043.html,Титов: российские продукты китайцы любят и очень высоко ценят,"Экономика,Китай,Россия,Австралия,Борис Титов"
Китай обогнал Германию и Чехию по поставкам пива в Россию ,04:05 19.05.2025,https://ria.ru/20250519/kitaj-2017748475.html,Китай впервые обогнал Германию и Чехию по поставкам пива в Россию,"Экономика,Авто,Россия,Германия,Чехия,Евросоюз"
Росавиация ведет диалог о возобновлении полетов со множеством стран ,03:12 19.05.2025,https://ria.ru/20250519/rosaviatsija-2017747081.html,Глава Росавиации Ядров: многие страны готовы возобновить авиасообщение с Россией,"Экономика,Россия,БРИКС,Федеральное агентство воздушного транспорта (Росавиация),Министерство экономического развития РФ (Минэкономразвития России)"
Эксперт назвал неизбежный сценарий для рубля на лето ,02:15 19.05.2025,https://ria.ru/20250519/rubl-2017739098.html,Финансист Бархота: летом произойдет ослабление рубля до 85-95 за доллар,"Экономика,Россия,Доллар,Рубль,Андрей Бархота"
"В России идет настоящая винная культурная революция, заявил Титов ",02:01 19.05.2025,https://ria.ru/20250519/vino-2017743736.html,Борис Титов: российское вино становится международным брендом,"Экономика,Россия,Европа,Америка,Борис Титов,Абрау-Дюрсо"
Россия заняла второе место в рейтинге стран Европы по доступности газа ,00:50 19.05.2025,https://ria.ru/20250519/gaz-2017739866.html,Россия заняла второе место в рейтинге по доступности газа для населения,"Экономика,Россия,Европа,Казахстан"
Володин рассказал об использовании нацвалют в торговле России и Киргизии  ,16:43 18.05.2025,https://ria.ru/20250518/kirgiziya-2017703315.html,Володин: использование нацвалют в торговле между РФ и Киргизией достигло 92%,"Киргизия,Россия,Бишкек,Вячеслав Володин,ОДКБ,Госдума РФ,Экономика"
Силуанов объяснил свой смех на совещании с Путиным ,15:51 18.05.2025,https://ria.ru/20250518/siluanov-2017695668.html,Силуанов объяснил свой смех на совещании с Путиным хорошим настроением,"Министерство финансов РФ (Минфин России),Антон Силуанов,Экономика,Владимир Путин,Павел Зарубин,Общество"
Россия и Сербия обсуждают долгосрочный договор на поставку газа ,14:31 18.05.2025,https://ria.ru/20250518/serbiya-2017687060.html,"Сербия договаривается с Россией о поставках 2,5 миллиарда кубометров газа в год","Экономика,Сербия,Россия,Газпром,Энергетика,Природный газ,Владимир Путин,Душан Баятович,Александр Вучич,Турецкий поток"
В ОАЭ рассказали о росте торговли с Россией ,13:22 18.05.2025,https://ria.ru/20250518/torgovlya-2017677109.html,"Салех: объем торговли между ОАЭ и РФ вырос за 5 лет с $3,5 млрд до $9,5 млрд","Международный экономический форум ""Россия — Исламский мир: KazanForum"",Экономика,ОАЭ,Россия,Казань,Абдалла Ахмед Аль Салех"
ЕС нарастил на треть продажи пива в Россию ,09:15 18.05.2025,https://ria.ru/20250518/pivo-2017655203.html,Евростат: Евросоюз нарастил поставки пива в Россию после четырех месяцев спада,"Экономика,Евросоюз,Россия,Пиво"
Исследование показало спрос на алкоголь в России в майские праздники ,08:52 18.05.2025,https://ria.ru/20250518/konturmarket-2017652359.html,"Контур.Маркет: в РФ в майские праздники покупали меньше алкоголя, чем в 2024 г","Экономика,Россия"
"Россия по праву гордится уникальными сортами своего винограда, заявил Титов ",02:02 18.05.2025,https://ria.ru/20250518/vinograd-2017638180.html,Титов: Россия по праву гордится уникальными сортами своего винограда,"Экономика,Россия,Европа,Борис Титов,Абрау-Дюрсо"
Роскачество предупредило о рисках разливных вин в курортных регионах ,22:17 17.05.2025,https://ria.ru/20250517/roskachestvo-2017625924.html,Роскачество: разливные вина в России могут быть не виноградного происхождения,"Экономика,Россия,Республика Крым,Роскачество,Министерство промышленности и торговли РФ (Минпромторг России),Министерство сельского хозяйства РФ (Минсельхоз России)"
Путин поручил уточнить программы поддержки бизнеса в Арктической зоне ,21:39 17.05.2025,https://ria.ru/20250517/putin-2017622500.html,Путин поручил уточнить параметры программ поддержки бизнеса в Арктической зоне,"Экономика,Россия,Мурманск,Владимир Путин"
"Онлайн-продажи на ярмарке ""Сделано в России"" за 6 часов превысили ₽1 млрд ",21:33 17.05.2025,https://ria.ru/20250517/yarmarka-2017621939.html,"В Китае за 6 часов приобрели продукцию на ₽1 млрд на ярмарке ""Сделано в России""","Экономика,Москва,Китай,Россия,Министерство промышленности и торговли РФ (Минпромторг России),Фонд ""Росконгресс"""
Путин поручил создать СП для перевозки грузов по Трансарктическому коридору ,21:16 17.05.2025,https://ria.ru/20250517/putin-2017619953.html,В России создадут СП с иностранцами для перевозок по Трансарктическому коридору,"Экономика,Россия,Мурманск,Владимир Путин"
Путин поручил рассмотреть вопрос о строительстве пассажирских ледовых судов ,20:56 17.05.2025,https://ria.ru/20250517/putin-2017617872.html,Путин поручил рассмотреть строительство судов для перевозки пассажиров в Арктике,"Россия,Мурманск,Владимир Путин,Арктика,Экономика"
Путин поручил подготовить предложения по безопасности судов ,20:28 17.05.2025,https://ria.ru/20250517/putin-2017614234.html,Путин ждет идей по развитию судостроительных мощностей для безопасности судов,"Россия,Мурманск,Владимир Путин,Экономика"
Путин дал поручения по развитию лесной промышленности ,19:44 17.05.2025,https://ria.ru/20250517/putin-2017607875.html,Путин дал правительству поручения по развитию лесной промышленности в России,"Экономика,Россия,Владимир Путин"
Путин поручил подумать над выращиванием генно-модифицированных деревьев ,18:56 17.05.2025,https://ria.ru/20250517/putin-2017602160.html,Путин поручил подумать над выращиванием генно-модифицированных деревьев в России,"Экономика,Россия,Владимир Путин"
Путин поручил расширить использование низкосортной древесины и пеллет ,18:54 17.05.2025,https://ria.ru/20250517/putin-2017601515.html,Путин поручил утвердить дорожную карту по расширению использования пеллет,"Экономика,ЖКХ,Россия,Владимир Путин,МЧС России (Министерство РФ по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий),Федеральная служба исполнения наказаний (ФСИН России),Федеральная служба войск национальной гвардии РФ (Росгвардия)"
Путин поручил повысить приоритет перевозок продукции лесной промышленности ,18:48 17.05.2025,https://ria.ru/20250517/putin-2017599418.html,Путин поручил представить предложения по повышению приоритета перевозок леспрома,"Экономика,Россия,Архангельская область,Владимир Путин,Михаил Мишустин,Олег Белозеров,РЖД"
Путин поручил включить спорторганизации в перечень для налогового вычета ,18:33 17.05.2025,https://ria.ru/20250517/putin-2017596575.html,Путин поручил включить спорторганизации в список компаний для налогового вычета,"Владимир Путин,Экономика,Спорт"
Путин поручил увеличить мощности терминалов Мурманского узла ,18:22 17.05.2025,https://ria.ru/20250517/putin-2017594865.html,Путин поручил представить предложения по увеличению терминалов Мурманского узла,"Экономика,Россия,Мурманск,Владимир Путин,Михаил Мишустин"
Путин поручил ускорить актуализацию Стратегии развития лесного комплекса ,18:08 17.05.2025,https://ria.ru/20250517/putin-2017593395.html,Путин поручил ускорить актуализацию Стратегии развития лесного комплекса России,"Россия,Владимир Путин,Экономика,Правительство РФ"
Путин дал новые поручения по развитию Арктической зоны ,17:41 17.05.2025,https://ria.ru/20250517/arktika-2017587498.html,None,"Мурманск,Воркута,Владимир Путин,Экономика,Обь,Арктика"
"ЦБ попытался досудебно урегулировать вопрос с выплатами купонов по ""Борцу"" ",17:37 17.05.2025,https://ria.ru/20250517/tsb-2017586992.html,"ЦБ попытался досудебно урегулировать вопрос выплат по облигациям ""Борец Капитал""","Экономика,Россия,Калининградская область,Генеральная прокуратура РФ,Московская биржа,Национальный расчетный депозитарий (НРД)"
Путин поручил разработать модели формирования Трансарктического коридора ,17:35 17.05.2025,https://ria.ru/20250517/putin-2017586738.html,Путин поручил разработать модели формирования трансарктического коридора,"Владимир Путин,Арктика,Экономика,Россия,Мурманск,Санкт-Петербург,Михаил Мишустин,Алексей Лихачев,Государственная корпорация по атомной энергии ""Росатом"",Объединенная судостроительная корпорация"
Путин дал поручения по срокам строительства газопровода Волхов — Мурманск ,17:29 17.05.2025,https://ria.ru/20250517/gazoprovod-2017585567.html,Путин поручил завершить строительство газопровода Волхов — Мурманск до 2030 года,"Газпром,Владимир Путин,Экономика,Мурманск,Волхов,Мурманская область,Леонид Михельсон,Министерство энергетики РФ (Минэнерго России),Новатэк"
Путин дал поручение по строительству моста через Обь ,17:18 17.05.2025,https://ria.ru/20250517/most-2017584507.html,Путин поручил до 2029 года завершить строительство моста через Обь,"Обь,Владимир Путин,Экономика"
Путин поручил провести реконструкцию аэропорта в Воркуте ,17:17 17.05.2025,https://ria.ru/20250517/putin-2017584397.html,Путин поручил завершить реконструкцию аэропорта в Воркуте в 2030 году,"Воркута,Владимир Путин,Экономика"
Путин поручил утвердить график расселения аварийного жилья в Арктике ,17:15 17.05.2025,https://ria.ru/20250517/arktika-2017584122.html,Путин поручил утвердить график расселения аварийных домов в Арктике до 2035 года,"Арктика,Владимир Путин,Экономика"
Путин поручил изучить вопрос модернизации складов ГСМ ,17:14 17.05.2025,https://ria.ru/20250517/putin-2017584028.html,Путин поручил изучить вопрос модернизации складов ГСМ до 1 июля,"Владимир Путин,Экономика,Россия,Мурманск"
Программу доступного жилья распространят на населенные пункты Арктики ,17:13 17.05.2025,https://ria.ru/20250517/arktika-2017583927.html,Путин поручил расширить программу доступного жилья на населенные пункты Арктики,"Арктика,Экономика"
"Газопровод ""Волхов — Мурманск"" введут в эксплуатацию до 2030 года ",17:10 17.05.2025,https://ria.ru/20250517/gazoprovod-2017583539.html,"Путин поручил ввести в эксплуатацию газопровод ""Волхов — Мурманск"" до 2030 года","Газпром,Владимир Путин,Экономика,Мурманск,Волхов"
"Российские бренды покоряют Китай на ярмарке ""Сделано в России"" в Харбине ",16:31 17.05.2025,https://ria.ru/20250517/yarmarka-2017578883.html,"Бренды из России покоряют рынок Китая на ярмарке ""Сделано в России"" в Харбине","Экономика,Китай,Россия,Харбин,Бренд Сделано в России (Made in Russia),Российский экспортный центр (РЭЦ)"
Мантуров заявил о росте производства компонентов для боеприпасов ,15:09 17.05.2025,https://ria.ru/20250517/rossiya-2017562998.html,Мантуров отметил рост производства компонентов для боеприпасов в России,"Россия,Денис Мантуров,Экономика,Технологии"
"В Харбине открылся магазин бренда ""Сделано в России"" ",14:07 17.05.2025,https://ria.ru/20250517/kharbin-2017555202.html,"РЭЦ открыл в Харбине магазин бренда ""Сделано в России""","Экономика,Харбин,Вероника Никишина,Россия,Китай,Бренд Сделано в России (Made in Russia)"
Кабул и Москва обсуждают возможность торговли в нацвалютах ,14:03 17.05.2025,https://ria.ru/20250517/kabul-2017555043.html,Министр Азизи: Кабул и Москва обсуждают возможность торговли в нацвалютах,"Экономика,Афганистан,Кабул (город),Москва,Нуриддин Азизи,Алексей Оверчук"
В Европе жестче других регионов борются с использованием наличных ,10:12 17.05.2025,https://ria.ru/20250517/evropa-2017539059.html,Европа борется с хождением бумажных денег жестче всех в мире,"Экономика,Европа,Россия,Финляндия,Евросоюз,Большая двадцатка"
В Сбербанке прокомментировали эксперимент по развитию исламского банкинга ,08:15 17.05.2025,https://ria.ru/20250517/sberbank-2017531816.html,"Ганеев: исламский банкинг не конкурент традиционным банкам, а донастройка","Экономика,Технологии,Россия,Казань,Олег Ганеев,Сбербанк России,Госдума РФ"
"Эксперты рассказали, где можно обменять рубли за рубежом ",08:14 17.05.2025,https://ria.ru/20250517/eksperty-2017531561.html,Российские туристы могут обменять рубли в десяти странах мира,"Экономика,Технологии,ОАЭ,Турция,Россия,Никита Кондратьев,Министерство экономического развития РФ (Минэкономразвития России)"
В России зафиксировали рекордный спрос на косметику из Южной Кореи ,08:02 17.05.2025,https://ria.ru/20250517/rossija-2017530961.html,Россия в апреле закупила у Южной Кореи косметику на рекордные 35 млн долларов,"Экономика,Россия,Южная Корея,Китай"
ЕС нарастил ввоз удобрений из России до максимума с 2022 года ,07:32 17.05.2025,https://ria.ru/20250517/udobreniya-2017529383.html,ЕС нарастил ввоз удобрений из России до максимума с ноября 2022 года,"Экономика,Россия,Белоруссия,Евросоюз,Европарламент"
Сбербанк летом планирует открыть первый офис исламского финансирования ,07:08 17.05.2025,https://ria.ru/20250517/sberbank-2017528697.html,Сбербанк летом планирует открыть первый офис исламского финансирования в Москве,"Экономика,Москва,Россия,Казань,Олег Ганеев,Сбербанк России,Госдума РФ"
Минпромторг поддержал идею создать единый реестр оборудования для майнинга ,07:03 17.05.2025,https://ria.ru/20250517/mayning-2017528412.html,Минэнерго: Минпромторг поддержал идею единого реестра оборудования для майнинга,"Технологии,Экономика,Россия,Евгений Грабчак,Министерство промышленности и торговли РФ (Минпромторг России),Министерство энергетики РФ (Минэнерго России)"
"В РЭЦ рассказали об эффектах фестиваля ""Сделано в России"" ",06:27 17.05.2025,https://ria.ru/20250517/rets-2017527717.html,"Глава РЭЦ Никишина: фестиваль ""Сделано в России"" демонстрирует значимые эффекты","Экономика,Китай,Харбин,Россия,Вероника Никишина,Владимир Путин,Российский экспортный центр (РЭЦ)"
"Раскрыто, как изменится курс рубля после переговоров в Стамбуле ",02:17 17.05.2025,https://ria.ru/20250517/rubl-2017515923.html,Финансист Родичкин: курсу рубля угрожает нестабильность после встречи в Стамбуле,"Экономика,АВИ Кэпитал,Ситуация с курсами валют и ценами на нефть,Рубль,Переговоры России и Украины в Стамбуле — 2025"
Титов предложит учредить Союз виноделов БРИКС ,02:02 17.05.2025,https://ria.ru/20250517/briks-2017518997.html,Титов предложит учредить Союз виноделов БРИКС на ближайшем саммите,"Экономика,Бразилия,Китай,Борис Титов,БРИКС"
Агентство Moody's понизило долгосрочный рейтинг правительства США ,00:11 17.05.2025,https://ria.ru/20250517/reyting-2017514117.html,Агентство Moody's понизило долгосрочный рейтинг правительства США с ААА до АА1,"Экономика,США"
