header,date,link,brief,tags
"В Нидерландах рассказали о передаче Украине F-16, разваливающихся в воздухе ",13:41 26.05.2025,https://ria.ru/20250526/niderlandy-2019098227.html,Де Гроот: Нидерланды передали Украине старые истребители F-16,"В мире,Украина,Россия,Нидерланды,Сергей Лавров,НАТО,F-16"
"Дугин назвал страну, идеальную для проведения переговоров России и США ",13:41 26.05.2025,https://ria.ru/20250526/indija-2019098061.html,Политолог Дугин назвал Индию прекрасной площадкой для переговоров России и США,"Специальная военная операция на Украине,Индия,Россия,Турция,Александр Дугин,НАТО,В мире,США"
Родительские субботы в 2025 году: расписание и традиции поминальных дней ,13:27 26.05.2025,https://ria.ru/20250526/subbota-1833322217.html,None,"Религия,Общество,Религия,Православие,вера,Традиции,В мире,Религиозные праздники"
WP: США боятся разозлить Россию заявлениями о передаче оружия Украине ,13:15 26.05.2025,https://ria.ru/20250526/peredacha-2019092534.html,"WP: США считают, что заявления о передаче оружия Украине сорвет переговоры с РФ","В мире,Украина,Россия,США,Дональд Трамп,Сергей Лавров,НАТО,Стамбул,Владимир Путин"
В Кремле прокомментировали слова Трампа об ударах по ВПК Украины ,13:12 26.05.2025,https://ria.ru/20250526/tramp-2019092327.html,Песков связал слова Трампа об ударах по ВПК Украины с эмоциональной перегрузкой ,"Специальная военная операция на Украине,В мире,Россия,Украина,США,Дональд Трамп,Дмитрий Песков"
Эксперт прокомментировал слова Трампа о новых санкциях против России ,13:09 26.05.2025,https://ria.ru/20250526/sanktsii-2019091823.html,Сокольщик назвал слова Трампа о санкциях против РФ частью переговорной тактики,"В мире,Россия,Украина,США,Дональд Трамп,Владимир Мединский,Владимир Зеленский,Высшая школа экономики (ВШЭ),Санкции в отношении России"
"WP: в Киеве считают, что США не будут передавать Patriot в качестве помощи ",13:06 26.05.2025,https://ria.ru/20250526/patriot-2019090892.html,"WP: в Киеве считают, что США склоняются к продаже Украине систем Patriot","В мире,Киев,Украина,США,Дональд Трамп,Владимир Зеленский,Пит Хегсет,НАТО,Министерство обороны США"
В отравлении россиян в Ташкенте обвинили владельца отеля ,13:05 26.05.2025,https://ria.ru/20250526/tashkent-2019090523.html,"В отравлении россиян в Ташкенте обвинили владельца отеля, сантехника и продавцов","Ташкент,В мире"
Во Франции нашли виновных в инциденте с пощечиной Макрону от его жены ,13:00 26.05.2025,https://ria.ru/20250526/makron-2019090043.html,None,"Эммануэль Макрон,Франция,Вьетнам,В мире"
Во Франции рассказали о последствиях пошлин ЕС на удобрения из России ,12:57 26.05.2025,https://ria.ru/20250526/frantsija-2019089421.html,Лапи: пошлины ЕС на удобрения из России поставят фермеров в трудное положение,"Экономика,Россия,Евросоюз,Франция,В мире,Меркосур,Белоруссия"
Песков: зарубежные лидеры стали свидетелями попыток ударов по России 9 мая ,12:50 26.05.2025,https://ria.ru/20250526/peskov-2019088097.html,"Песков: лидеры, посетившие парад Победы, стали свидетелями попыток ударов по РФ","80-летие Победы в Великой Отечественной войне,Россия,Украина,Стамбул,Владимир Путин,Дмитрий Песков,Дональд Трамп,В мире,80-летие Победы в Великой Отечественной войне"
В Ташкенте начался суд по делу об отравлении Паперной ,12:48 26.05.2025,https://ria.ru/20250526/papernaya-2019087919.html,Суд по делу об отравлении журналистки Паперной начался в Ташкенте,"Ташкент,В мире"
"Путин принимает решения, необходимые для безопасности России, заявил Песков ",12:44 26.05.2025,https://ria.ru/20250526/putin-2019087212.html,"Песков: Путин принимает решения, необходимые для обеспечения безопасности РФ","Россия,Владимир Путин,Украина,Стамбул,Дмитрий Песков,Дональд Трамп,В мире"
В Кремле отреагировали на подозрения Британии в адрес России ,12:43 26.05.2025,https://ria.ru/20250526/britaniya-2019086694.html,Песков назвал подозрения Лондона в адрес Москвы беспочвенными и смехотворными,"В мире,Россия,Лондон,Великобритания,Кир Стармер,Дмитрий Песков"
"Контакты по линии специальных служб России и США есть, заявил Песков ",12:40 26.05.2025,https://ria.ru/20250526/kontakty-2019085835.html,"Песков: контакты по линии спецслужб РФ и США есть, но не в больших масштабах ","США,Дмитрий Песков,Россия,В мире"
Песков прокомментировал ситуацию с поджогом дома Стармера ,12:36 26.05.2025,https://ria.ru/20250526/peskov-2019085169.html,"Песков: РФ подозревают во всем нехорошем, что происходит в Британии","В мире,Лондон,Великобритания,Дмитрий Песков,Кир Стармер,Россия"
Песков высказался о восстановлении диалога между Россией и США ,12:35 26.05.2025,https://ria.ru/20250526/peskov-2019084694.html,Песков: РФ и США в начале возвращения двусторонних отношений в рабочее состояние,"Россия,США,Дмитрий Песков,В мире"
Песков выразил благодарность Турции за организацию переговоров в Стамбуле ,12:30 26.05.2025,https://ria.ru/20250526/stambul-2019083879.html,Песков: РФ признательна Турции за идеальные условия для переговоров в Стамбуле,"Россия,Украина,Стамбул,Дмитрий Песков,Владимир Путин,Переговоры России и Украины в Стамбуле — 2025,В мире"
Песков высказался о предстоящем визите Фидана в Москву ,12:29 26.05.2025,https://ria.ru/20250526/peskov-2019083765.html,Песков: главной темой в ходе визита Фидана будут двусторонние отношения ,"Хакан Фидан,Дмитрий Песков,Сергей Лавров,Турция,Москва,Россия,В мире"
Россия выразила признательность США за содействие в переговорах по Украине ,12:29 26.05.2025,https://ria.ru/20250526/ukraina-2019083610.html,Песков назвал начало переговоров по Украине важным достижением для России и США,"Специальная военная операция на Украине,В мире,Россия,Украина,Стамбул,Дональд Трамп,Дмитрий Песков,Владимир Путин"
Песков раскрыл подробности будущего визита Фидана в Москву ,12:27 26.05.2025,https://ria.ru/20250526/peskov-2019083483.html,Песков: в ходе визита Фидана может состояться обмен мнениями по Украине,"Специальная военная операция на Украине,Хакан Фидан,Дмитрий Песков,Украина,Турция,Москва,В мире"
Скандал с пощечиной Макрону от жены вызвал недоумение во Франции ,12:27 26.05.2025,https://ria.ru/20250526/makron-2019083360.html,Французский политик Дюпон-Эньян высмеял инцидент с пощечиной Макрону от жены,"В мире,Эммануэль Макрон,Франция,Брижит Макрон,Николя Дюпон-Эньян,Вьетнам"
Песков высказался о продолжении переговоров между Россией и Украиной ,12:25 26.05.2025,https://ria.ru/20250526/peregovory-2019083002.html,Песков: понимания по продолжению переговоров между РФ и Украиной пока нет,"Россия,Украина,Дмитрий Песков,Владимир Путин,Переговоры России и Украины в Стамбуле — 2025,Стамбул,В мире"
Песков рассказал о ходе подготовки меморандума по Украине ,12:21 26.05.2025,https://ria.ru/20250526/peskov-2019081819.html,"Песков: РФ не передала Украине проект меморандума, работа продолжается","Украина,Россия,Дмитрий Песков,Константин Косачев,Совет Федерации РФ,Владимир Путин,Киев,В мире"
Путин в понедельник примет министра иностранных дел Турции ,12:21 26.05.2025,https://ria.ru/20250526/peskov-2019081694.html,Песков: Путин в понедельник примет министра иностранных дел Турции ,"Турция,Россия,Москва,Хакан Фидан,Дмитрий Песков,Владимир Путин,В мире"
СМИ: экс-канцлера Австрии Курца оправдали по делу о ложных показаниях ,12:19 26.05.2025,https://ria.ru/20250526/avstriya-2019080734.html,Puls24: экс-канцлера Австрии Курца оправдали по делу о ложных показаниях,"В мире,Австрия,Вена,Себастьян Курц"
СМИ: Израиль планирует занять 75 процентов сектора Газа за два месяца ,12:14 26.05.2025,https://ria.ru/20250526/gaza-2019078652.html,ЦАХАЛ планирует занять 75% территорий сектора Газа за два ближайших месяца ,"В мире,Израиль,Биньямин Нетаньяху,ХАМАС,Обострение палестино-израильского конфликта в 2024 году"
"""Снова одна"". На Западе обеспокоились судьбой Финляндии из-за России ",12:04 26.05.2025,https://ria.ru/20250526/finlyandiya-2019076311.html,"FAZ: Финляндия не уверена, что НАТО окажет поддержку в случае конфронтации с РФ","Дональд Трамп,Финляндия,В мире,Россия,Москва,Владимир Путин,НАТО"
Секретарь совета нацбезопасности Ирана посетит Москву ,12:01 26.05.2025,https://ria.ru/20250526/sekretar--2019075245.html,Секретарь совета нацбезопасности Ирана Али Ахмадиан посетит Москву,"Иран,Москва,В мире,Евразийский экономический союз,ОДКБ,Сергей Шойгу,СНГ,Россия"
Протестующие фермеры прибыли к зданию парламента в Париже ,11:56 26.05.2025,https://ria.ru/20250526/fermery-2019073705.html,Протестующие фермеры на тракторах прибыли к зданию парламента в Париже,"Евросоюз,Париж,Франция,Меркосур,В мире"
"Семью из четырех панд, живущую в Японии, вернут в Китай ",11:54 26.05.2025,https://ria.ru/20250526/pandy-2019073466.html,МИД КНР: панду Лянбан и ее трех детенышей вернут из Японии в Китай в июне,"Китай,Япония,Россия,Мао Нин,Московский зоопарк,В мире,Панда Катюша"
Россия и Сербия продлили действующий договор о поставках газа ,11:42 26.05.2025,https://ria.ru/20250526/rossija-2019071768.html,Баятович: РФ и Сербия продлили договор о поставках газа до 30 сентября,"Экономика,Сербия,Россия,Болгария,Душан Баятович,Александр Вучич,Владимир Путин,Газпром,Турецкий поток,В мире"
Польша направила России ноту из-за удаления крестов на польском кладбище ,11:38 26.05.2025,https://ria.ru/20250526/polsha-2019069288.html,Польша направила РФ ноту из-за удаления крестов с памятника в Тверской области,"В мире,Россия,Польша,Варшава,Радослав Сикорский,Мария Захарова"
Медведчук заявил о катастрофическом положении Украины на фронте ,11:28 26.05.2025,https://ria.ru/20250526/ukraina-2019067600.html,Медведчук: динамика обмена пленными говорит о катастрофическом положении Украины,"Специальная военная операция на Украине,В мире,Украина,Россия,Стамбул,Виктор Медведчук,Вооруженные силы Украины,Оппозиционная платформа - За жизнь"
Telegraph: ужин на приеме Трампа для инвесторов был хуже еды в самолетах ,11:16 26.05.2025,https://ria.ru/20250526/uzhin-2019066420.html,"Telegraph: на ужине Трампа с инвесторами в крипту еда была хуже, чем в самолете","В мире,США,Дональд Трамп"
"""Оружие детям"". На Западе пришли в ужас из-за новой идеи Киева ",11:11 26.05.2025,https://ria.ru/20250526/ukraina-2019065366.html,L'AntiDiplomatico: Украина может ввести военные учения среди детей,"Специальная военная операция на Украине,Вооруженные силы Украины,Владимир Зеленский,Украина,В мире,Киев,США,Евросоюз"
"Пленный боевик ВСУ рассказал, как на Украине проходит мобилизация ",10:52 26.05.2025,https://ria.ru/20250526/mobilizatsiya-2019061253.html,"Украинские военкоматы забирают больных гепатитом, чтобы выполнить план по отлову","Специальная военная операция на Украине,В мире,Вооруженные силы Украины,Министерство обороны РФ (Минобороны РФ)"
Во Франции протестующие фермеры заблокировали автотрассы в Иль-де-Франс ,10:48 26.05.2025,https://ria.ru/20250526/protest-2019060995.html,Протестующие фермеры во Франции блокируют автотрассы в регионе Иль-де-Франс,"Франция,Иль-де-Франс,Париж,Меркосур,Евросоюз,В мире"
Израиль атаковал более 200 военных объектов в секторе Газа за двое суток ,10:46 26.05.2025,https://ria.ru/20250526/obekty-2019060170.html,ЦАХАЛ ударила по 200 объектам палестинских радикалов в Газе за 48 часов,"В мире,Израиль,Биньямин Нетаньяху,ХАМАС,Обострение палестино-израильского конфликта в 2024 году"
На Гавайях началось новое извержение вулкана ,10:45 26.05.2025,https://ria.ru/20250526/vulkan-2019059901.html,"Началось новое извержение вулкана на Гавайях, фонтаны лавы достигают 300 м","Гавайи,В мире"
Пашинян пригрозил поменять Конституцию ради соглашения с Баку ,10:41 26.05.2025,https://ria.ru/20250526/pashinyan-2019059010.html,Пашинян пригрозил поменять Конституцию Армении ради мира с Азербайджаном,"В мире,Азербайджан,Никол Пашинян,Армения,Ильхам Алиев,ОБСЕ,Евросоюз,Баку"
Пушилин рассказал о значении освобождения Отрадного в ДНР ,10:37 26.05.2025,https://ria.ru/20250526/otradnoe-2019058586.html,Пушилин: уничтожение укрепрайона в селе Отрадное в ДНР создало сложности для ВСУ,"Специальная военная операция на Украине,В мире,Отрадное,Донецкая Народная Республика,Денис Пушилин,Вооруженные силы Украины"
Представители Афганистана примут участие в международной встрече в Москве ,10:34 26.05.2025,https://ria.ru/20250526/afganistan-2019058346.html,СБ РФ: представители Афганистана примут участие в международной встрече в Москве,"Афганистан,Москва,Россия,В мире"
Макрон прилюдно получил пощечину от жены ,10:31 26.05.2025,https://ria.ru/20250526/makron-2019057863.html,Макрон получил пощечину от супруги во время визита в Ханой,"Эммануэль Макрон,Вьетнам,Юго-Восточная Азия,Фридрих Мерц,Кир Стармер,Германия,В мире"
В ДНР выросло число украинских военнопленных ,10:29 26.05.2025,https://ria.ru/20250526/plennye-2019057364.html,Пушилин: в ДНР в последнее время увеличилось число украинских военнопленных,"Специальная военная операция на Украине,В мире,Донецкая Народная Республика,Украина,Денис Пушилин,Вооруженные силы Украины"
Медведчук: киевский режим закладывает стратегию вечной войны против России ,10:26 26.05.2025,https://ria.ru/20250526/kiev-2019056804.html,Медведчук: Киев готовит украинцев к стратегии вечной войны против России,"Россия,Украина,Германия,Виктор Медведчук,Владимир Зеленский,Ирина Верещук,Оппозиционная платформа - За жизнь,В мире"
"В Йемене эвакуировали россиян с танкера, попавшего под удар ВВС США ",10:25 26.05.2025,https://ria.ru/20250526/yemen-2019056649.html,Все россияне с поврежденного ударами США танкера Seven Pearls покинули Йемен,"В мире,Йемен,Россия,США"
Дуда призвал проверять кандидатов в президенты Польши на наркотики ,10:11 26.05.2025,https://ria.ru/20250526/polsha-2019054920.html,Дуда назвал логичной проверку кандидатов в президенты Польши на наркотики,"В мире,Польша,Анджей Дуда,Кароль Навроцкий,Президентские выборы в Польше — 2025"
Фицо высказался о переговорах между Россией и Украиной ,10:09 26.05.2025,https://ria.ru/20250526/fitso-2019054527.html,Фицо: Словакия надеется на успех переговоров между Россией и Украиной ,"Переговоры России и Украины в Стамбуле — 2025,Владимир Путин,Дмитрий Песков,Стамбул,Украина,Роберт Фицо,Россия,В мире"
ВС Израиля заявили об ударе по зданию школы в городе Газа ,10:07 26.05.2025,https://ria.ru/20250526/gaza-2019054346.html,"ВС Израиля заявили об ударе по зданию школы в Газе, где находились боевики ХАМАС","Биньямин Нетаньяху,Израиль,ХАМАС,Обострение палестино-израильского конфликта в 2024 году,В мире"
"В украинских ВВС рассказали, как ""Искандеры"" обходят защиту Patriot ",10:02 26.05.2025,https://ria.ru/20250526/ukraina-2019054096.html,"Представитель ВВС Украины Игнат: ""Искандеры"" научились обходить защиту Patriot","Специальная военная операция на Украине,Украина,Россия,Киев,НАТО,В мире"
В Виннице загорелось здание военкомата ,09:55 26.05.2025,https://ria.ru/20250526/vinnitsa-2019053262.html,В Виннице пожарные тушат здание горящего военкомата,"В мире,Винница,Украина"
"СМИ: в ЕС обсуждают, продлевать или отменять поддержку украинских мигрантов ",09:41 26.05.2025,https://ria.ru/20250526/ukraina-2019052357.html,Euractiv: Брюссель обсуждает судьбу директивы по защите украинских мигрантов,"Специальная военная операция на Украине,В мире,Брюссель,Украина,Евросоюз"
В администрации Эрдогана ответили на вопрос о создании военных баз в Сирии ,09:41 26.05.2025,https://ria.ru/20250526/plany-2019052244.html,Анкара не комментирует данные о планах ВС Турции создать военные базы в Сирии,"Сирия,Анкара (провинция),Турция,В мире,Реджеп Тайип Эрдоган,Дональд Трамп"
"""Семь головорезов"". Журналист пришел в ужас от происходящего в Харькове ",09:36 26.05.2025,https://ria.ru/20250526/kharkov-2019051967.html,Журналист Боуз осудил насильственную мобилизацию в Харькове,"Специальная военная операция на Украине,В мире,Украина,Харьков,Чей Боуз,Владимир Зеленский,Европа"
В администрации Эрдогана высказались о втором раунде переговоров по Украине ,09:35 26.05.2025,https://ria.ru/20250526/dannye-2019051857.html,Офис Эрдогана: данных по дате и месту второго раунда переговоров по Украине нет ,"Специальная военная операция на Украине,Украина,В мире,Переговоры России и Украины в Стамбуле — 2025"
"У Украины закончились ракеты для зенитных батарей SAMP-T, пишет Monde ",09:35 26.05.2025,https://ria.ru/20250526/ukraina-2019051684.html,Monde: Киев остался без ракет для поставленных Западом SAMP-T и ЗРК Crotale,"Специальная военная операция на Украине,В мире,Украина,Россия,Италия,НАТО,Вооруженные силы Украины"
"Украина перестала быть приоритетом США, пишет Economist ",09:26 26.05.2025,https://ria.ru/20250526/ukraina-2019050949.html,Economist: Украина при Трампе превратилась в одного из многочисленных клиентов,"Специальная военная операция на Украине,В мире,США,Украина,Россия,Дональд Трамп,Владимир Зеленский,Сергей Лавров,НАТО"
Лидер Словении рассказала о работе ЕК над возобновлением диалога с Россией ,09:11 26.05.2025,https://ria.ru/20250526/dialoga-2019048553.html,Лидер Словении Мусар: ЕК подала сигнал о работе над восстановлением диалога с РФ,"Россия,Словения,Москва,Урсула фон дер Ляйен,Владимир Путин,Евросоюз,Еврокомиссия,В мире"
Эксперт прокомментировал сообщения об опечатанных отелях в Турции ,09:10 26.05.2025,https://ria.ru/20250526/oteli-2019048271.html,Координатор Санджар: данные о 4000 опечатанных отелях в Турции вызвали панику,"Турция,СНГ,В мире"
"""Все по-прежнему"". В США сделали неудобное признание о России ",09:05 26.05.2025,https://ria.ru/20250526/rossiya-2019047821.html,Макгрегор: США не могут повлиять на действия России на Украине,"Специальная военная операция на Украине,США,Россия,Украина,В мире"
Польша вторую ночь подряд поднимала авиацию из-за якобы активности России ,09:03 26.05.2025,https://ria.ru/20250526/polsha-2019047626.html,В Польше ночью подняли в небо авиацию из-за якобы активности России на Украине,"Специальная военная операция на Украине,Россия,Польша,Москва,Владимир Путин,НАТО,В мире"
Economist узнал о проблемах с ЗРК Patriot на Украине ,08:57 26.05.2025,https://ria.ru/20250526/ukraina-2019047000.html,Economist: ЗРК Patriot на Украине часто получают повреждения и ремонтируются,"Специальная военная операция на Украине,В мире,Россия,Украина,НАТО,Вооруженные силы Украины"
Российский посол высказался об отношении к памятникам в Молдавии ,08:53 26.05.2025,https://ria.ru/20250526/moldaviya-2019046477.html,"Посол Озеров: РФ надеется, что Молдавия не пойдет по пути борьбы с памятниками","В мире,Молдавия,Россия,Прибалтика,Олег Озеров,Майя Санду,80-летие Победы в Великой Отечественной войне"
Эксперт дал советы туристам после новостей об опечатанных отелях в Турции ,08:53 26.05.2025,https://ria.ru/20250526/tutsiya-2019046337.html,Координатор Санджар: гостям нужно уточнить ситуацию с конкретным отелем в Турции,"Турция,СНГ,В мире"
Источник: Фидан рассчитывает на встречу с Мединским и Нарышкиным в Москве ,08:50 26.05.2025,https://ria.ru/20250526/fidan--2019046220.html,Фидан рассчитывает на встречу с Мединским и Нарышкиным в ходе визита в Москву,"Москва,Турция,В мире"
"Стало известно, что ВСУ бросают в бой женщин-заключенных ",08:36 26.05.2025,https://ria.ru/20250526/ukraina-2019045040.html,ВСУ бросают в бой женщин-заключенных из-за нехватки личного состава,"Специальная военная операция на Украине,В мире,Сумская область,Вооруженные силы Украины"
"КНДР проводит ремонт эсминца, поврежденного при спуске на воду ",08:30 26.05.2025,https://ria.ru/20250526/tstak-2019044524.html,"ЦТАК: КНДР проводит ремонт эсминца, поврежденного при спуске на воду","КНДР (Северная Корея),В мире,Ким Чен Ын"
Посол в Молдавии прокомментировал обвинения в адрес российских СМИ ,08:15 26.05.2025,https://ria.ru/20250526/posol-2019043031.html,Посол Озеров: обвинения СМИ из РФ в Молдавии в дезинформации бездоказательны,"Олег Озеров,Евгения Гуцул,Молдавия,В мире"
Трамп и мировое глубинное государство. Раскол Запада ,08:00 26.05.2025,https://ria.ru/20250526/raskol-2018997442.html,None,"В мире,США,Россия,Китай,Дональд Трамп,Илон Маск,Александр Дугин,Аль-Каида,Евросоюз,Министерство обороны США,Аналитика"
СВО стала гарантией безопасности для Европы ,08:00 26.05.2025,https://ria.ru/20250526/evropa-2018993781.html,None,"Аналитика,В мире,Россия,Украина,Спецоперация,Европа"
Уникальная сделка: отдать территорию и еще заплатить за это ,08:00 26.05.2025,https://ria.ru/20250526/sdelka-2018990842.html,None,"Аналитика,В мире,Маврикий,Кир Стармер,Борис Джонсон,Великобритания"
"Украина получит все, что заслужила ",08:00 26.05.2025,https://ria.ru/20250526/ukraina-2018964467.html,None,"Аналитика,Украина,Россия,НАТО,В мире"
Социалисты получили более 80% голосов на парламентских выборах в Венесуэле ,07:49 26.05.2025,https://ria.ru/20250526/venesuela-2019041874.html,ЦИК Венесуэлы: социалисты получили более 80% голосов на парламентских выборах,"В мире,Венесуэла"
"Жертвами удара Израиля по школе в Газе стали 25 человек, сообщили СМИ ",07:44 26.05.2025,https://ria.ru/20250526/gaza-2019041680.html, Al-Jazeera: жертвами удара Израиля по школе в Газе стали 25 человек,"В мире,Израиль,Биньямин Нетаньяху,ХАМАС"
"Санкции против России могут стать предметом переговоров, сообщил источник ",07:33 26.05.2025,https://ria.ru/20250526/peregovory-2019041223.html,Санкции против России могут стать предметом переговоров,"В мире,Россия,Москва,Владимир Путин"
"""Без разбора"": журналист унизил Келлога после гнусных слов о России ",07:17 26.05.2025,https://ria.ru/20250526/kellog-2019040174.html,"Журналист Боуз: Келлог намеренно врет, пытаясь очернить Россию","В мире,Россия,США,Украина,Кит Келлог,Чей Боуз"
Кандидат в президенты Южной Кореи пообещал восстановить связь с КНДР ,07:13 26.05.2025,https://ria.ru/20250526/koreya-2019039964.html,Кандидат в президенты Южной Кореи Ли Чжэ Мён пообещал восстановить связь с КНДР,"В мире,КНДР (Северная Корея),Южная Корея,Корейский полуостров,Ким Чен Ын,Мун Чжэ Ин,Facebook"
"При стрельбе в Южной Каролине пострадали не менее 11 человек, сообщили СМИ ",06:59 26.05.2025,https://ria.ru/20250526/strelba-2019039700.html,ABC: при стрельбе в Южной Каролине пострадали не менее 11 человек,"В мире,Южная Каролина,США"
"""Умыл руки"": Запад всполошили новые нападки Трампа на Зеленского ",06:48 26.05.2025,https://ria.ru/20250526/tramp-2019039281.html,Профессор Сиракуса: Трамп решил выйти из переговоров по Украине,"В мире,США,Украина,Австралия,Владимир Зеленский,Дональд Трамп"
Источник: исключать продолжение переговоров России и США в Турции нельзя ,06:32 26.05.2025,https://ria.ru/20250526/peregovory-2019038836.html,Исключать продолжение переговоров России и США в Турции нельзя,"В мире,Россия,Турция,США"
