header,date,link
ЦБ расширит требования к иностранным цифровым правам ,"15.05.2025, 19:50",https://ria.ru/20250515/tsb-2017204065.html
В Минпромторге оценили возможность использования роботов в промышленности ,"15.05.2025, 14:42",https://ria.ru/20250515/minpromtorg-2017111069.html
Дропперы в России теперь не смогут переводить больше 100 тысяч рублей ,"15.05.2025, 00:10",https://ria.ru/20250515/droppery-2017006947.html
"Мантуров рассказал о развитии проекта самолета ""Байкал"" ","14.05.2025, 23:35",https://ria.ru/20250514/manturov-2017002437.html
"Комплексный облачный проект для ""МСП Лизинг"" реализовал beeline cloud ","14.05.2025, 16:57",https://ria.ru/20250514/beeline-2016922778.html
Алиханов рассказал о сотрудничестве с Египтом в сфере высоких технологий ,"14.05.2025, 12:55",https://ria.ru/20250514/alikhanov-2016860359.html
"Минпромторг рассказал о производстве самолета ""Байкал"" ","14.05.2025, 12:39",https://ria.ru/20250514/samolet-2016856241.html
В Госдуме предложили обновить дизайн сторублевой купюры ,"13.05.2025, 04:08",https://ria.ru/20250513/gosduma-2016599659.html
Правительство утвердило стратегию развития судостроения до 2050 года ,"12.05.2025, 10:54",https://ria.ru/20250512/pravitelstvo--2016441650.html
Правительство направит 500 миллиардов рублей на развитие судостроения ,"12.05.2025, 10:48",https://ria.ru/20250512/pravitelstvo-2016440404.html
Невидимый враг. Евросоюз начали разрушать изнутри ,"12.05.2025, 08:00",https://ria.ru/20250512/evrosoyuz-2015614382.html
Россиян оповестили о новом ограничении при переводе денег ,"11.05.2025, 03:15",https://ria.ru/20250511/perevod-2016272456.html
Экономист высказался о нефтегазовых технологиях в годы ВОВ ,"9.05.2025, 18:04",https://ria.ru/20250509/vov-2016092366.html
Дмитриев высказался о поставках российских удобрений в Бразилию ,"9.05.2025, 16:44",https://ria.ru/20250509/dmitriev-2016074958.html
PepsiCo хочет зарегистрировать в России товарный знак для продажи напитков ,"7.05.2025, 15:37",https://ria.ru/20250507/znak-2015570563.html
"Минпромторг выделит 13,4 миллиарда рублей на самолеты нового поколения ","7.05.2025, 13:26",https://ria.ru/20250507/minpromtorg-2015520443.html
Мишустин назвал лизинг в сельхозотрасли гибким инструментом ,"7.05.2025, 12:01",https://ria.ru/20250507/mishustin-2015486072.html
В Новосибирске пройдет всероссийский приборостроительный форум ,"6.05.2025, 12:44",https://ria.ru/20250506/novosibirsk-2015248008.html
"Эксперт рассказал, когда россияне смогут расплачиваться цифровым рублем ","4.05.2025, 20:41",https://ria.ru/20250504/rubl-2014923717.html
Россиян предупредили о лимите на разовые переводы без открытия счета ,"1.05.2025, 05:30",https://ria.ru/20250501/perevody-2014533270.html
"Калининградский ""Автотор"" начал выпуск опытной партии электромобилей ","29.04.2025, 22:19",https://ria.ru/20250429/avtotor-2014212700.html
"""А7"" отмечает сдвиг трансграничных расчетов в сторону Азии и Африки ","29.04.2025, 21:40",https://ria.ru/20250429/a7-2014207008.html
"""Транспорт будущего"" готов строить с Белоруссией СП по производству дронов ","29.04.2025, 21:12",https://ria.ru/20250429/bespilotniki-2014203831.html
"Российская экономика будет одной из ключевых в мире, считает Сакс ","29.04.2025, 13:57",https://ria.ru/20250429/ekonomika-2014051585.html
В ОАЭ хотят запустить привязанный к нацвалюте стейблкоин ,"29.04.2025, 05:45",https://ria.ru/20250429/oae-2013963471.html
"В РЖД сообщили о планах запуска на северо-западе поезда ""тяни-толкай"" ","29.04.2025, 02:35",https://ria.ru/20250429/rzhd-2013957787.html
"В Европе пытаются помешать сотрудничеству России с Африкой, заявил Дмитриев ","28.04.2025, 19:09",https://ria.ru/20250428/dmitriev-2013917085.html
В России увеличится число предприятий по сборке роботов-манипуляторов ,"28.04.2025, 14:36",https://ria.ru/20250428/roboty-2013835903.html
Мишустин рассказал о создании инфраструктуры для беспилотников в России ,"28.04.2025, 14:12",https://ria.ru/20250428/bespilotniki-2013827780.html
Мишустин рассказал о новых планах правительства по развитию экономики  ,"28.04.2025, 13:17",https://ria.ru/20250428/syre-2013813356.html
Хакеры совершили 801 миллион кибератак на сайты российских компаний ,"28.04.2025, 06:25",https://ria.ru/20250428/khakery-2013760162.html
Старовойт рассказал об испытаниях отечественного высокоскоростного поезда ,"28.04.2025, 03:50",https://ria.ru/20250428/ispytaniya-2013752130.html
"Эксперт сообщил о росте активности ботов, собирающих сведения о россиянах ","27.04.2025, 14:54",https://ria.ru/20250427/aktivnost-2013688766.html
Силуанов назвал внедрение ИИ ключевым фактором развития экономики ,"25.04.2025, 06:28",https://ria.ru/20250425/siluanovyj-2013315057.html
Правительство внесло в ГД проект о признании цифровой валюты имуществом ,"24.04.2025, 17:18",https://ria.ru/20250424/gosduma-2013247845.html
Костин оценил перспективы возвращения Visa и Mastercard в Россию ,"24.04.2025, 12:58",https://ria.ru/20250424/kostin-2013168154.html
"""Промомед"" – День инвестора: инновационные препараты и медицина будущего ","24.04.2025, 10:24",https://ria.ru/20250424/promomed-2013056100.html
Выручка резидентов Сколково в 2024 году выросла на 38% ,"24.04.2025, 09:05",https://ria.ru/20250424/skolkovo-2013058227.html
"Нехватка швей отражается на производстве мягких игрушек, рассказали в АИДТ ","23.04.2025, 04:36",https://ria.ru/20250423/igrushki-2012868778.html
Маск сократит участие в работе DOGE из-за падения прибыли Tesla ,"23.04.2025, 01:06",https://ria.ru/20250423/mask-2012862149.html
Эксперты: регулирование должно обеспечить справедливость на маркетплейсах ,"22.04.2025, 20:19",https://ria.ru/20250422/eksperty-2012838063.html
Около 70 процентов предприятий ТЭК будут применять ИИ к 2027 году ,"22.04.2025, 17:34",https://ria.ru/20250422/predprijatija-2012798075.html
"Кипрская N-Tech.LAB LTD стала полностью российской МКАО ""НТХ"" ","22.04.2025, 15:57",https://ria.ru/20250422/nth-2012759962.html
Хачатрян назвал главную тему ПМЭФ-2025 ,"22.04.2025, 15:08",https://ria.ru/20250422/forum-2012745431.html
Минпромторг предложил прекратить параллельный импорт ноутбуков HP и Fujitsu ,"22.04.2025, 13:56",https://ria.ru/20250422/kompyuter-2012723393.html
"""Расхлебывать придется годами"". Китай больно щелкнул США по носу ","22.04.2025, 08:00",https://ria.ru/20250422/boeing-2012526010.html
Исследование показало рост спроса на дебетовые карты в России ,"22.04.2025, 05:16",https://ria.ru/20250422/karty-2012641573.html
"В ""Ростехе"" прокомментировали ситуацию с контрафактными инструментами ","21.04.2025, 16:09",https://ria.ru/20250421/rostekh-2012542090.html
Т1: Будущее ИТ-отрасли за компаниями с услугами полного цикла ,"21.04.2025, 13:48",https://ria.ru/20250421/t1-2012511191.html
"Глава Еврокомиссии заявила, что IT-гиганты должны соблюдать правила ЕС ","21.04.2025, 06:29",https://ria.ru/20250421/it-2012437986.html
"Американцы могут разориться на хобби из-за пошлин, считает эксперт ","20.04.2025, 19:58",https://ria.ru/20250420/ssha-2012412188.html
В России выросло число кибератак на финансовый сектор ,"19.04.2025, 07:34",https://ria.ru/20250419/kiberataki-2012227202.html
"Алиханов раскрыл дату начала поставок импортозамещенных ""Суперджетов"" ","18.04.2025, 17:07",https://ria.ru/20250418/samolet-2012130284.html
Украина ввела санкции против 51 российской компаний ,"18.04.2025, 16:00",https://ria.ru/20250418/ukraina-2012103179.html
Минтранс назвал срок получения сертификата на импортозамещенный Superjet ,"17.04.2025, 20:50",https://ria.ru/20250417/samolet-2011917021.html
"Импортозамещенный Superjet будет сертифицирован в срок, заявили в ""Ростехе"" ","17.04.2025, 20:38",https://ria.ru/20250417/samolet-2011915114.html
ЦБ прорабатывает создание базы данных по дропперам ,"17.04.2025, 11:41",https://ria.ru/20250417/tsb-2011770550.html
Мишустин рассказал о новых разработках в сфере ИИ ,"17.04.2025, 11:13",https://ria.ru/20250417/mishustin-2011763849.html
Мишустин призвал масштабировать производство скоростных пассажирских судов ,"17.04.2025, 11:08",https://ria.ru/20250417/mishustin-2011762506.html
Мишустин рассказал о поддержке производства станков и компонентов ,"17.04.2025, 10:51",https://ria.ru/20250417/mishustin-2011758928.html
Цивилев: энергетическая стратегия РФ подразумевает обновление электросетей ,"16.04.2025, 18:06",https://ria.ru/20250416/tsivilev-2011648679.html
"Мишустин поручил составить перечень вузов с программой ""Биоэкономика"" ","16.04.2025, 10:12",https://ria.ru/20250416/bioekonomika-2011515071.html
"""Яндекс"" объявил о покупке Boxberry ","16.04.2025, 10:09",https://ria.ru/20250416/jandeks-2011513789.html
Удар под дых: Китай применил мощнейшее оружие против США ,"16.04.2025, 08:00",https://ria.ru/20250416/kitay-2011404794.html
Опрос показал желание бизнесменов работать с иностранными компаниями ,"16.04.2025, 06:37",https://ria.ru/20250416/biznes-2011494383.html
"В системе ""Честный знак"" зарегистрировали 2,3 тысячи импортеров косметики ","16.04.2025, 04:22",https://ria.ru/20250416/rossiya-2011489006.html
Sky Gates начала грузоперевозки из Москвы в города Дальнего Востока ,"15.04.2025, 14:16",https://ria.ru/20250415/gruzoperevozki-2011358366.html
Взять под контроль. ЕС решился на переворот  ,"15.04.2025, 08:00",https://ria.ru/20250415/platezhi-2011174011.html
Путин отметил важность запуска новых заводов по лесной промышленности ,"14.04.2025, 19:43",https://ria.ru/20250414/putin-2011233006.html
"Путин дал старт производству российского аналога упаковки ""Тетра Пак"" ","14.04.2025, 19:08",https://ria.ru/20250414/upakovka-2011223613.html
Эксперты назвали отрасль с высокими зарплатами непрофильных специалистов ,"12.04.2025, 02:59",https://ria.ru/20250412/zarplaty-2010834967.html
Россиян предупредили о схеме аферистов с использованием цифрового рубля ,"11.04.2025, 17:01",https://ria.ru/20250411/moshenniki-2010776266.html
В Госдуме предложили ввести код ОКВЭД для майнеров ,"11.04.2025, 14:30",https://ria.ru/20250411/gosduma-2010730116.html
Национальный бренд поможет креативным индустриям в продвижении на экспорт ,"11.04.2025, 10:14",https://ria.ru/20250411/brend-2010641817.html
Российские ученые создали систему контроля контейнеров с помощью AR-очков ,"11.04.2025, 04:26",https://ria.ru/20250411/bezopasnost-2010608410.html
Мишустин заявил о важности расширения рынка венчурных инвестиций ,"10.04.2025, 12:02",https://ria.ru/20250410/investitsii-2010436329.html
ВТБ разработал новую функцию для защиты от мошенников ,"10.04.2025, 09:51",https://ria.ru/20250410/vtb-2010394857.html
Приангарье готово стать одной из площадок кластера редкоземельных металлов ,"10.04.2025, 06:26",https://ria.ru/20250410/priangare-2010375144.html
КамАЗ в 2025 году выпустит образцы обновленных беспилотных грузовиков ,"9.04.2025, 15:41",https://ria.ru/20250409/kamaz-2010272789.html
Маркетплейсы смогут доставлять товар в отделения почты ,"9.04.2025, 15:35",https://ria.ru/20250409/pochta-2010271537.html
Правительство поддержало введение единого платежного QR-кода ,"9.04.2025, 15:17",https://ria.ru/20250409/kabmin-2010265127.html
"ФАС признала рекламу ""Ozon Банка"" ненадлежащей ","9.04.2025, 10:47",https://ria.ru/20250409/fas-2010180976.html
Apple потеряла статус самой дорогой компании мира ,"9.04.2025, 10:25",https://ria.ru/20250409/apple-2010176919.html
В США оценили объем пошлин на импорт из Юго-Восточной Азии ,"9.04.2025, 07:17",https://ria.ru/20250409/poshliny-2010150501.html
"В России открыли 13 предприятий ""Орешник"" ","9.04.2025, 04:46",https://ria.ru/20250409/oreshnik-2010143180.html
"Беспилотные грузовики на трассе ""Нева"" подключили к ""ЭРА-ГЛОНАСС"" ","9.04.2025, 04:07",https://ria.ru/20250409/glonass-2010141836.html
"Оверчук рассказал, как шли переговоры по мобильной связи с Белоруссией ","9.04.2025, 01:30",https://ria.ru/20250409/svyaz-2010135139.html
"Суд взыскал с Cisco шесть миллионов рублей по иску ""Транснефти"" ","8.04.2025, 13:55",https://ria.ru/20250408/cisco-2010021061.html
Григоренко рассказал об итогах подготовки IT-специалистов за пять лет ,"8.04.2025, 13:01",https://ria.ru/20250408/rossija-2010001143.html
"Рыбохозяйственный комплекс в России работает стабильно, заявил Патрушев ","8.04.2025, 11:51",https://ria.ru/20250408/ryba-2009981844.html
Минвостокразвития поддержало создание БАС-хаба между Россией и КНР ,"8.04.2025, 07:26",https://ria.ru/20250408/rossiya-2009938621.html
СМИ: Apple отправила из Индии в США пять самолетов с iPhone из-за пошлин ,"8.04.2025, 05:53",https://ria.ru/20250408/iphone-2009933962.html
Путин подписал закон о удаленной идентификации при открытии счета в банке ,"7.04.2025, 16:09",https://ria.ru/20250407/putin-2009828430.html
Роснедра назвали сферы основного спроса на редкоземельные металлы ,"7.04.2025, 07:05",https://ria.ru/20250407/rosnedra-2009731688.html
"В Роснедрах рассказали, что нужно для развития отрасли редких металлов ","6.04.2025, 04:22",https://ria.ru/20250406/rosnedra-2009595138.html
"В России не нужны особые стимулы для майнинга криптовалют, заявил эксперт ","5.04.2025, 02:10",https://ria.ru/20250405/kriptovalyuta-2009464647.html
Эксперт предложил сертификацию мексиканских продуктов для экспорта в Россию ,"5.04.2025, 01:27",https://ria.ru/20250405/produkty-2009462630.html
Макрон не стал исключать любых мер в ответе на пошлины США ,"3.04.2025, 17:53",https://ria.ru/20250403/makron-2009177490.html
"""Дочка"" Google в России впервые за 4 года получила чистую прибыль ","3.04.2025, 17:28",https://ria.ru/20250403/google-2009169030.html
"ЦБ продолжает работать над пилотом цифрового рубля, заявила Набиуллина ","3.04.2025, 12:05",https://ria.ru/20250403/nabiullina-2009073535.html
"Нельзя допустить крипту к расчетам на внутреннем рынке, заявила Набиуллина ","3.04.2025, 11:48",https://ria.ru/20250403/nabiullina-2009069493.html
Акции Tesla вышли в плюс после новостей о скором уходе Маска из DOGE ,"2.04.2025, 19:50",https://ria.ru/20250402/mask-2008975488.html
"Старовойт предложил идентифицировать беспилотные грузовики по ""ЭРА-ГЛОНАСС"" ","2.04.2025, 16:37",https://ria.ru/20250402/starovoyt-2008932816.html
Путин поручил принять закон для возмещения средств после взлома приложений ,"2.04.2025, 14:14",https://ria.ru/20250402/putin-2008889701.html
Аксаков указал на необходимость пресечь схему с накруткой кешбэка ,"1.04.2025, 21:21",https://ria.ru/20250401/keshbek-2008770669.html
"Глава ""Иннопрактики"" рассказала о поддержке технологических компаний ","1.04.2025, 17:29",https://ria.ru/20250401/innopraktika-2008728511.html
Банки попросили Роскомнадзор защитить их от мошенничества с кешбэком ,"1.04.2025, 10:20",https://ria.ru/20250401/bank-2008577193.html
"Россия и Китай могут вместе противостоять санкциям, заявил эксперт ","1.04.2025, 05:25",https://ria.ru/20250401/kitay-2008543648.html
Росстандарт впервые утвердил ГОСТ для работы торговых автоматов ,"31.03.2025, 12:27",https://ria.ru/20250331/rosstandart-2008371362.html
Эксперт оценил перспективы России в добыче редкоземельных металлов ,"30.03.2025, 13:31",https://ria.ru/20250330/rossiya-2008230439.html
ЦБ начал нанимать роботов на работу в 2024 году ,"28.03.2025, 20:04",https://ria.ru/20250328/bank-2008039029.html
"Эмиссия карт ""Мир"" в 2024 году выросла в 1,4 раза ","28.03.2025, 18:43",https://ria.ru/20250328/karty-2008026217.html
"Крупные производители техники хотят вернуться в Россию, пишут СМИ ","28.03.2025, 08:44",https://ria.ru/20250328/proizvoditeli-2007859231.html
Исследование МГУ: онлайн-торговля нуждается в регулировании ,"27.03.2025, 22:58",https://ria.ru/20250327/torgovlya-2007816582.html
Путин поручил увеличить мощности морских портов в Арктике ,"27.03.2025, 22:35",https://ria.ru/20250327/putin-2007813233.html
В РФПИ заявили об интересе США к российским энергетическим технологиям ,"27.03.2025, 17:11",https://ria.ru/20250327/tekhnologii-2007739128.html
Дрозденко: Ariston сможет продолжить производство в Ленинградской области ,"27.03.2025, 16:51",https://ria.ru/20250327/ariston-2007734577.html
"Форум ""Синтез инноваций в ИТ-отрасли"" прошел в Москве ","27.03.2025, 11:20",https://ria.ru/20250327/forum-2006493973.html
"""Ростех"" не боится возвращения Boeing в Россию ","27.03.2025, 06:57",https://ria.ru/20250327/rostekh-2007602243.html
"Отмена санкций не повлияет на производство МС-21 и SJ-100, заявил Чемезов ","27.03.2025, 06:11",https://ria.ru/20250327/rostekh-2007600727.html
Добычу редкоземельных металлов наладят в Мурманской области с господдержкой ,"26.03.2025, 21:25",https://ria.ru/20250326/krdv-2007572642.html
Шадаев рассказал о последствиях возвращения западных компаний ,"26.03.2025, 20:28",https://ria.ru/20250326/shadaev-2007567579.html
"Росавиация одобрила ""Яковлеву"" серийное производство МC-21 ","26.03.2025, 17:17",https://ria.ru/20250326/rosaviatsija-2007522119.html
Мишустин призвал готовиться к перевороту в отраслях из-за внедрения ИИ ,"26.03.2025, 14:42",https://ria.ru/20250326/mishustin-2007455971.html
Мишустин анонсировал запуск нового проекта по биоэкономике ,"26.03.2025, 13:37",https://ria.ru/20250326/bioekonomika-2007432390.html
Мишустин отметил хорошую динамику российской промышленности ,"26.03.2025, 13:24",https://ria.ru/20250326/mishustin-2007426849.html
Мишустин назвал размеры субсидий на научные разработки ,"26.03.2025, 12:55",https://ria.ru/20250326/nauka-2007413585.html
Мишустин рассказал о развитии IT-отрасли в России ,"26.03.2025, 12:49",https://ria.ru/20250326/mishustin-2007410759.html
"Мишустин рассказал, как обеспечить устойчивую экономику ","26.03.2025, 12:44",https://ria.ru/20250326/ekonomika-2007407687.html
Эксперты рассказали об уязвимости банковских приложений ,"26.03.2025, 05:57",https://ria.ru/20250326/prilozheniya-2007342776.html
В Совфеде оценили возможность возвращения Visa и Mastercard в Россию ,"25.03.2025, 19:22",https://ria.ru/20250325/sovfed-2007285103.html
Эксперт оценил энергопотребление ИИ в России к 2030 году ,"25.03.2025, 04:22",https://ria.ru/20250325/tekhnologii-2007087746.html
ВТБ раскрыл новую схему мошенничества с использованием банковских карт ,"24.03.2025, 08:18",https://ria.ru/20250324/vtb-2006860790.html
Китай продолжит содействовать развитию предприятий с иностранным капиталом ,"24.03.2025, 06:58",https://ria.ru/20250324/kitaj-2006856963.html
Россиянам рассказали об основных типах дропперов ,"23.03.2025, 08:43",https://ria.ru/20250323/droppery-2006744418.html
Набиуллина назвала криптовалюты очень рисковыми инструментами ,"21.03.2025, 16:06",https://ria.ru/20250321/kriptovalyuta-2006513387.html
Путин поручил создать высокоэффективные накопители энергии ,"21.03.2025, 15:13",https://ria.ru/20250321/putin-2006491203.html
Правительство будет мониторить формирование цен на БПЛА ,"21.03.2025, 14:39",https://ria.ru/20250321/tseny-2006470522.html
Путин поручил утвердить план мероприятий для роста экспорта беспилотников ,"21.03.2025, 14:35",https://ria.ru/20250321/bespilotniki-2006468671.html
Путин поручил расширить использование БПЛА в отраслях экономики ,"21.03.2025, 14:13",https://ria.ru/20250321/putin-2006459308.html
IT-компания КРОК предоставила документы по проекту прошлых лет для проверки ,"20.03.2025, 22:21",https://ria.ru/20250320/krok-2006330004.html
"IT-компания ""Крок"" сообщила, что работает в штатном режиме ","20.03.2025, 13:58",https://ria.ru/20250320/krok-2006189266.html
"Глава ВТБ заявил, что SWIFT уже никому не нужен ","19.03.2025, 15:20",https://ria.ru/20250319/swift-2005991499.html
Дмитриев рассказал о проблемах для возвращения компаний из США в Россию ,"18.03.2025, 14:09",https://ria.ru/20250318/dmitriev-2005706443.html
Банки обяжут ввести в приложения функционал для пострадавших от мошенниках ,"18.03.2025, 12:24",https://ria.ru/20250318/banki-2005680641.html
Российская Sitronics Electro начала поставку электрозарядок в Армению ,"18.03.2025, 02:44",https://ria.ru/20250318/armenija-2005615522.html
В Sitronics Electro планируют охватить электрозарядками всю Россию ,"17.03.2025, 16:24",https://ria.ru/20250317/zaryadki-2005526724.html
"Россиянам раскрыли приемы мошенников, обещающих удачные инвестиции ","17.03.2025, 09:26",https://ria.ru/20250317/moshenniki-2005424221.html
Superjet совершил первый полет с российским двигателем ,"17.03.2025, 06:03",https://ria.ru/20250317/superjet-2005408448.html
Вступает в силу запрет ЕС на доступ к SWIFT нескольких российских банков ,"17.03.2025, 00:15",https://ria.ru/20250317/swift-2005392458.html
"""Алмаз-Антей"" прокомментировал сообщения о проекте электромобиля Е-Neva ","13.03.2025, 22:27",https://ria.ru/20250313/e-neva-2004881743.html
Российские IT-проекты продолжили отток с зарубежных облаков в 2024 году ,"13.03.2025, 05:53",https://ria.ru/20250313/it-2004656215.html
В Госдуме предложили ввести нулевую ставку НДС для производителей БАС ,"12.03.2025, 18:26",https://ria.ru/20250312/gosduma-2004595636.html
"""Сбер"" тестирует оплату покупок в Турции по  QR-коду ","12.03.2025, 16:38",https://ria.ru/20250312/sber-2004567699.html
"Цифровизация не заменит человека в сельском хозяйстве, заявил Патрушев ","12.03.2025, 13:29",https://ria.ru/20250312/patrushev-2004512971.html
Минпромторг предложил ввести обязательную маркировку смартфонов и ноутбуков ,"12.03.2025, 10:06",https://ria.ru/20250312/minpromtorg-2004468024.html
"Минэкономразвития поддержало ""самозапрет"" покупок на маркетплейсах ","12.03.2025, 04:11",https://ria.ru/20250312/minekonomrazvitiya-2004440962.html
В России утвердили создание особых экономических зон в трех регионах ,"10.03.2025, 09:04",https://ria.ru/20250310/pravitelstvo-2004004321.html
В Госдуме предложили запустить план ГОЭЛРО-2 ,"10.03.2025, 07:25",https://ria.ru/20250310/babakov-2003997373.html
Эксперт рассказал о росте интереса хакеров к интернет-магазинам косметики  ,"8.03.2025, 13:13",https://ria.ru/20250308/hakery-2003801281.html
В США проведут полный аудит криптовалюты ,"7.03.2025, 22:17",https://ria.ru/20250307/ssha-2003738752.html
"Трамп призвал США использовать, а не ограничивать цифровые активы ","7.03.2025, 05:42",https://ria.ru/20250307/ssha-2003532329.html
Каждая вторая предпринимательница в России занята в сфере услуг ,"6.03.2025, 07:44",https://ria.ru/20250306/predprinimatelnitsa-2003335241.html
"Китайские компании хотят развивать отношения с Россией, заявил Титов ","6.03.2025, 07:37",https://ria.ru/20250306/kompanii-2003335062.html
СП рекомендовала оптимизировать меры поддержки инновационной инфраструктуры ,"6.03.2025, 00:06",https://ria.ru/20250306/infrastruktura-2003311149.html
"На российском рынке всем хватит места, заявил Титов ","5.03.2025, 03:41",https://ria.ru/20250305/titov-2003094758.html
"Новые рынки помогут IT-компаниям из России, заявил эксперт ","4.03.2025, 03:59",https://ria.ru/20250304/it-2002876978.html
В Армавире построят пресс алюминиевых профилей для поездов ВСМ ,"3.03.2025, 06:03",https://ria.ru/20250303/armavir-2002651777.html
Эксперты оценили зависимость российских компаний от зарубежных IT-решений ,"1.03.2025, 10:17",https://ria.ru/20250301/it-reshenija-2002419449.html
"В Казахстане увеличили число терминалов, принимающих карты ""Мир"" ","1.03.2025, 09:40",https://ria.ru/20250301/kazahstan-2002414457.html
Суд рассмотрит жалобу Google на штраф в восемь миллиардов рублей ,"1.03.2025, 08:12",https://ria.ru/20250301/sud-2002407509.html
OpenAI оказалась вынуждена обновлять ИИ-модели из-за давления конкурентов ,"28.02.2025, 16:29",https://ria.ru/20250228/openai-2002251997.html
"ЦБ объяснил, почему в России не будут выпускать пластиковые купюры ","28.02.2025, 16:07",https://ria.ru/20250228/tsb-2002246257.html
Силуанов назвал ИИ ключевым источником роста мировой экономики в будущем ,"28.02.2025, 15:39",https://ria.ru/20250228/siluanovyj-2002241300.html
ОАЭ готовы запустить собственную систему банковских карт ,"28.02.2025, 02:14",https://ria.ru/20250228/oae-2002085763.html
"В Минпромторге рассказали об ""обелении"" российского рынка автокомпонентов ","27.02.2025, 17:48",https://ria.ru/20250227/minpromtorg-2002011344.html
Минпромторг рассказал о проекте мультиязычного сайта с российскими товарами ,"27.02.2025, 16:40",https://ria.ru/20250227/minpromtorg-2001992420.html
"Достижения российских ученых не должны ложиться ""под гриф"", заявил Путин ","27.02.2025, 15:53",https://ria.ru/20250227/putin-2001979264.html
Греф ответил на вопрос о конкуренции словами о марсианах ,"27.02.2025, 14:44",https://ria.ru/20250227/gref-2001953681.html
Греф поблагодарил Apple за уход с российского рынка ,"27.02.2025, 12:34",https://ria.ru/20250227/gref-2001916534.html
В России могут возобновить производство двигателей для модернизации Ан-2 ,"27.02.2025, 11:20",https://ria.ru/20250227/rossija-2001896976.html
ЦБ намерен отложить широкое внедрение цифрового рубля ,"27.02.2025, 11:06",https://ria.ru/20250227/rubl-2001894230.html
