header,date,link,brief,tags
Путин дал поручение по строительству моста через Обь ,17:18 17.05.2025,https://ria.ru/20250517/most-2017584507.html,Путин поручил до 2029 года завершить строительство моста через Обь,"Обь,Владимир Путин,Экономика"
Путин поручил провести реконструкцию аэропорта в Воркуте ,17:17 17.05.2025,https://ria.ru/20250517/putin-2017584397.html,Путин поручил завершить реконструкцию аэропорта в Воркуте в 2030 году,"Воркута,Владимир Путин,Экономика"
Путин поручил утвердить график расселения аварийного жилья в Арктике ,17:15 17.05.2025,https://ria.ru/20250517/arktika-2017584122.html,Путин поручил утвердить график расселения аварийных домов в Арктике до 2035 года,"Арктика,Владимир Путин,Экономика"
Путин поручил изучить вопрос модернизации складов ГСМ ,17:14 17.05.2025,https://ria.ru/20250517/putin-2017584028.html,Путин поручил изучить вопрос модернизации складов ГСМ до 1 июля,"Владимир Путин,Экономика,Россия,Мурманск"
Программу доступного жилья распространят на населенные пункты Арктики ,17:13 17.05.2025,https://ria.ru/20250517/arktika-2017583927.html,Путин поручил расширить программу доступного жилья на населенные пункты Арктики,"Арктика,Экономика"
"Газопровод ""Волхов — Мурманск"" введут в эксплуатацию до 2030 года ",17:10 17.05.2025,https://ria.ru/20250517/gazoprovod-2017583539.html,"Путин поручил ввести в эксплуатацию газопровод ""Волхов — Мурманск"" до 2030 года","Газпром,Владимир Путин,Экономика,Мурманск,Волхов"
"Российские бренды покоряют Китай на ярмарке ""Сделано в России"" в Харбине ",16:31 17.05.2025,https://ria.ru/20250517/yarmarka-2017578883.html,"Бренды из России покоряют рынок Китая на ярмарке ""Сделано в России"" в Харбине","Экономика,Китай,Россия,Харбин,Бренд Сделано в России (Made in Russia),Российский экспортный центр (РЭЦ)"
Мантуров заявил о росте производства компонентов для боеприпасов ,15:09 17.05.2025,https://ria.ru/20250517/rossiya-2017562998.html,Мантуров отметил рост производства компонентов для боеприпасов в России,"Россия,Денис Мантуров,Экономика,Технологии"
"В Харбине открылся магазин бренда ""Сделано в России"" ",14:07 17.05.2025,https://ria.ru/20250517/kharbin-2017555202.html,"РЭЦ открыл в Харбине магазин бренда ""Сделано в России""","Экономика,Харбин,Вероника Никишина,Россия,Китай,Бренд Сделано в России (Made in Russia)"
Кабул и Москва обсуждают возможность торговли в нацвалютах ,14:03 17.05.2025,https://ria.ru/20250517/kabul-2017555043.html,Министр Азизи: Кабул и Москва обсуждают возможность торговли в нацвалютах,"Экономика,Афганистан,Кабул (город),Москва,Нуриддин Азизи,Алексей Оверчук"
В Европе жестче других регионов борются с использованием наличных ,10:12 17.05.2025,https://ria.ru/20250517/evropa-2017539059.html,Европа борется с хождением бумажных денег жестче всех в мире,"Экономика,Европа,Россия,Финляндия,Евросоюз,Большая двадцатка"
В Сбербанке прокомментировали эксперимент по развитию исламского банкинга ,08:15 17.05.2025,https://ria.ru/20250517/sberbank-2017531816.html,"Ганеев: исламский банкинг не конкурент традиционным банкам, а донастройка","Экономика,Технологии,Россия,Казань,Олег Ганеев,Сбербанк России,Госдума РФ"
"Эксперты рассказали, где можно обменять рубли за рубежом ",08:14 17.05.2025,https://ria.ru/20250517/eksperty-2017531561.html,Российские туристы могут обменять рубли в десяти странах мира,"Экономика,Технологии,ОАЭ,Турция,Россия,Никита Кондратьев,Министерство экономического развития РФ (Минэкономразвития России)"
В России зафиксировали рекордный спрос на косметику из Южной Кореи ,08:02 17.05.2025,https://ria.ru/20250517/rossija-2017530961.html,Россия в апреле закупила у Южной Кореи косметику на рекордные 35 млн долларов,"Экономика,Россия,Южная Корея,Китай"
ЕС нарастил ввоз удобрений из России до максимума с 2022 года ,07:32 17.05.2025,https://ria.ru/20250517/udobreniya-2017529383.html,ЕС нарастил ввоз удобрений из России до максимума с ноября 2022 года,"Экономика,Россия,Белоруссия,Евросоюз,Европарламент"
Сбербанк летом планирует открыть первый офис исламского финансирования ,07:08 17.05.2025,https://ria.ru/20250517/sberbank-2017528697.html,Сбербанк летом планирует открыть первый офис исламского финансирования в Москве,"Экономика,Москва,Россия,Казань,Олег Ганеев,Сбербанк России,Госдума РФ"
Минпромторг поддержал идею создать единый реестр оборудования для майнинга ,07:03 17.05.2025,https://ria.ru/20250517/mayning-2017528412.html,Минэнерго: Минпромторг поддержал идею единого реестра оборудования для майнинга,"Технологии,Экономика,Россия,Евгений Грабчак,Министерство промышленности и торговли РФ (Минпромторг России),Министерство энергетики РФ (Минэнерго России)"
"В РЭЦ рассказали об эффектах фестиваля ""Сделано в России"" ",06:27 17.05.2025,https://ria.ru/20250517/rets-2017527717.html,"Глава РЭЦ Никишина: фестиваль ""Сделано в России"" демонстрирует значимые эффекты","Экономика,Китай,Харбин,Россия,Вероника Никишина,Владимир Путин,Российский экспортный центр (РЭЦ)"
"Раскрыто, как изменится курс рубля после переговоров в Стамбуле ",02:17 17.05.2025,https://ria.ru/20250517/rubl-2017515923.html,Финансист Родичкин: курсу рубля угрожает нестабильность после встречи в Стамбуле,"Экономика,АВИ Кэпитал,Ситуация с курсами валют и ценами на нефть,Рубль,Переговоры России и Украины в Стамбуле — 2025"
Титов предложит учредить Союз виноделов БРИКС ,02:02 17.05.2025,https://ria.ru/20250517/briks-2017518997.html,Титов предложит учредить Союз виноделов БРИКС на ближайшем саммите,"Экономика,Бразилия,Китай,Борис Титов,БРИКС"
Агентство Moody's понизило долгосрочный рейтинг правительства США ,00:11 17.05.2025,https://ria.ru/20250517/reyting-2017514117.html,Агентство Moody's понизило долгосрочный рейтинг правительства США с ААА до АА1,"Экономика,США"
В Сбербанке рассказали о спросе на исламские дебетовые карты ,21:56 16.05.2025,https://ria.ru/20250516/ekonomika-2017505493.html,"Сбербанк с начала года выдал 34,7 тысячи исламских дебетовых карт","Экономика,Россия,Казань,Олег Ганеев,Сбербанк России,Госдума РФ"
В Воронежской области ввели режим ЧС в сельском хозяйстве ,21:44 16.05.2025,https://ria.ru/20250516/chs-2017503841.html,В Воронежской области ввели режим ЧС в сельском хозяйстве из-за заморозков,"Воронежская область,Россия,Александр Гусев (губернатор),Оксана Лут,Экономика"
"Свыше 1,3 трлн руб ждет Тюменская область от ключевых инвестпроектов ",21:10 16.05.2025,https://ria.ru/20250516/investproekty-2017499336.html,"Ключевые инвестпроекты привлекут в Тюменскую область 1,324 трлн руб инвестиций","Тюменская область,Экономика,Тюменская область,Россия,Уватский район,Денис Мантуров,Александр Моор,Роснефть,Сибур Холдинг"
Пошлина на экспорт пшеницы с 21 по 27 мая снизится ,20:59 16.05.2025,https://ria.ru/20250516/poshliny-2017497665.html,"Пошлина на экспорт пшеницы с 21 по 27 мая снизится до 1550,3 рубля за тонну","Экономика,Цены на нефть,Россия,Министерство сельского хозяйства РФ (Минсельхоз России)"
"Курс рубля по итогам торгов пятницы снизился к юаню, но вырос за неделю ",19:08 16.05.2025,https://ria.ru/20250516/kurs-2017479212.html,"Курс юаня по итогам торгов в пятницу составил 11,18 рубля","Экономика,Московская биржа,Ситуация с курсами валют и ценами на нефть"
"Средняя розничная цена бензина в России в апреле выросла на 0,6% ",19:04 16.05.2025,https://ria.ru/20250516/ekonomika-2017477549.html,"Росстат: средняя розничная цена бензина в России в апреле выросла на 0,6%","Экономика,Россия,Федеральная служба государственной статистики (Росстат)"
На HeliRussia обсудили интеграцию беспилотников в логистические процессы ,19:00 16.05.2025,https://ria.ru/20250516/eksperty-2017476446.html,В Москве прошла экспертная сессия по интеграции БВС в логистические процессы,"Экономика,Технологии,Россия"
ЕП одобрил доппошлины ЕС на импорт сельхозпродукции и удобрений РФ ,18:33 16.05.2025,https://ria.ru/20250516/poshliny-2017467149.html,Европарламент одобрил доппошлины ЕС на импорт сельхозпродукции и удобрений РФ,"Россия,Белоруссия,Евросоюз,Еврокомиссия,Европарламент,Экономика,удобрения,сельхозпродукция,Таможенные пошлины"
"Совет директоров ""Норникеля"" обсудит выплаты дивидендов 22 мая  ",18:31 16.05.2025,https://ria.ru/20250516/ekonomika-2017466575.html,"""Норникель"" 22 мая обсудит рекомендации по выплате дивидендов за 2024 год","Экономика,Норильский никель"
"В Китае открылся распределительный центр под брендом ""Сделано в России"" ",18:26 16.05.2025,https://ria.ru/20250516/kitay-2017464155.html,"В Китае открылся первый складской распредцентр под брендом ""Сделано в России""","Китай,Россия,Российский экспортный центр (РЭЦ),Экономика,Харбин"
В Госдепе назвали подход США к торговле с Африкой неэффективным ,17:53 16.05.2025,https://ria.ru/20250516/gosdep-2017452933.html,Сандерс: США уступили России и Китаю в торговле с Африкой,"Экономика,Африка,США,Китай,Дональд Трамп,Атлантический совет,Государственный департамент США"
ЦБ снизил критерии для инвесторов ,17:29 16.05.2025,https://ria.ru/20250516/investitsii-2017445112.html,ЦБ снизил критерий дохода для получения статуса квалифицированного инвестора,"Экономика,Михаил Мамута,Центральный Банк РФ (ЦБ РФ),НАУФОР"
РЭЦ: существует большой интерес для российского бизнеса в Таджикистане ,17:17 16.05.2025,https://ria.ru/20250516/rets-2017442008.html,РЭЦ: существует большой потенциал для российского бизнеса в Таджикистане,"Экономика,Россия,Таджикистан,ОАЭ,Российский экспортный центр (РЭЦ)"
В ЦБ рассказали о работе по разблокировке активов россиян ,16:31 16.05.2025,https://ria.ru/20250516/tsb-2017414929.html,ЦБ продолжает работу по разблокировке активов российских инвесторов за рубежом,"Экономика,Россия,Филипп Габуния,НАУФОР,Центральный Банк РФ (ЦБ РФ)"
"Суд взыскал с бывшей британской ""дочки"" Сбербанка 14,5 миллиона долларов ",16:11 16.05.2025,https://ria.ru/20250516/sud-2017408230.html,"Сбербанк взыскал с бывшей британской ""дочки"" Sberbank CIB 1,2 миллиарда рублей","Экономика,Москва,Великобритания,Сбербанк России,Goldman Sachs"
"ВТБ начал прием заявок по программе ""Семейный автомобиль"" ",15:49 16.05.2025,https://ria.ru/20250516/kredit-2017401872.html,"ВТБ начал прием заявок на выдачу автокредитов по программе ""Семейный автомобиль""","Экономика,ВТБ (банк)"
"Возрождение Донбасса находится в активной фазе, заявил Пушилин ",15:42 16.05.2025,https://ria.ru/20250516/dnr-2017397436.html,Пушилин: планируется застройка Донецко-Макеевской агломерации и побережья,"Экономика,Донбасс,Мариуполь,Донецкая Народная Республика,Денис Пушилин"
Индекс Мосбиржи опустился ниже 2800 пунктов ,15:27 16.05.2025,https://ria.ru/20250516/mosbirzha-2017393457.html,Индекс Мосбиржи опустился ниже 2800 пунктов впервые с 7 мая,"Россия,Украина,Стамбул,Московская биржа,Экономика"
Мошенники похитили у россиян почти семь миллиардов рублей за три месяца ,15:09 16.05.2025,https://ria.ru/20250516/moshenniki-2017387152.html,"ЦБ: мошенники в I квартале похитили у россиян почти 6,9 миллиарда рублей","Экономика,Технологии,Центральный Банк РФ (ЦБ РФ)"
"""Ростсельмаш"" отправит сотрудников в единый отпуск в июне ",15:08 16.05.2025,https://ria.ru/20250516/rostselmash-2017386485.html,"""Ростсельмаш"" отправит сотрудников в отпуск в июне для оптимизации затрат","Экономика,Ростсельмаш,Россия"
Женщины–предприниматели составляют 25% получателей поддержки РЭЦ ,15:07 16.05.2025,https://ria.ru/20250516/zhenschiny-2017385905.html,Женщины–предприниматели составляют 25% получателей государственной поддержки РЭЦ,"Экономика,Россия,Казань,Российский экспортный центр (РЭЦ)"
"Российские банки защитили средства клиентов на 4,6 триллиона рублей ",14:37 16.05.2025,https://ria.ru/20250516/tsb-2017377588.html,"ЦБ: банки в России в I квартале защитили от мошенников 4,6 триллиона рублей","Экономика,Россия,Центральный Банк РФ (ЦБ РФ),Дмитрий Григоренко"
Суд взыскал с Euroclear Bank почти пятнадцать миллиардов рублей ,14:21 16.05.2025,https://ria.ru/20250516/sud-2017371637.html,Суд в Москве взыскал с бельгийского Euroclear Bank почти 15 млрд рублей,"Экономика,Коммерческая недвижимость,Москва,Австралия,Канада"
Рынок акций и рубль спокойно отреагировали на переговоры в Стамбуле ,13:45 16.05.2025,https://ria.ru/20250516/peregovory-2017359171.html,Рынок акций и рубль спокойно отреагировали на переговоры РФ и Украины в Стамбуле,"Стамбул,Россия,Украина,Переговоры России и Украины в Стамбуле — 2025,Экономика"
Российский рынок акций растет в ожидании новостей с переговоров в Стамбуле ,13:38 16.05.2025,https://ria.ru/20250516/rynok-2017356223.html,Рынок акций РФ растет в ожидании новостей с переговоров по Украине из Стамбула,"Экономика,Цены на нефть,Стамбул,Украина,Турция,Богдан Зварич,Алексей Антонов (аналитик),Московская биржа,ФосАгро,Совкомбанк,Переговоры России и Украины в Стамбуле — 2025"
Доля поступлений в бюджет Москвы от сферы информационных технологий выросла ,12:36 16.05.2025,https://ria.ru/20250516/dolja-2017319347.html,Доля поступлений в бюджет Москвы от сферы IT составляет около 20-25%,"Экономика,Технологии,Москва,Казань,Сергей Черемин"
Запрет майнинга криптовалют в Хакасии рассмотрят на правкоме ,12:32 16.05.2025,https://ria.ru/20250516/hakasija-2017318545.html,Замминистра энергетики Грабчак: запрет майнинга в Хакасии обсудят на правкоме,"Республика Хакасия,Россия,Республика Бурятия,Евгений Грабчак,Министерство энергетики РФ (Минэнерго России),майнинг,Экономика"
ЕС сократил импорт газа из России до минимума 1999 года ,12:31 16.05.2025,https://ria.ru/20250516/es-2017317794.html,Евростат: ЕС в марте закупил у России газа на минимальные 340 млн евро,"Экономика,Россия,Евростат,Евросоюз,В мире"
Афганистан попросил о беспошлинном экспорте продуктов из России ,11:38 16.05.2025,https://ria.ru/20250516/afganistan-2017306854.html,Азизи: Афганистан хочет нулевой пошлины на экспорт продуктов из России,"Экономика,Афганистан,Россия,Нуриддин Азизи"
Сбербанк рассказал о новых схемах мошенников ,11:33 16.05.2025,https://ria.ru/20250516/sberbank-2017305875.html,Сбербанк: телефонные мошенники стали направлять россиян за займами в МФО,"Экономика,Технологии,Сбер,Сбербанк России"
Трамп заявил о новых условиях ведения бизнеса в США ,11:31 16.05.2025,https://ria.ru/20250516/tramp-2017304897.html,Трамп направит уведомления партнерам о новых условиях ведения бизнеса в США,"Экономика,США,Абу-Даби,Китай,Дональд Трамп"
Оверчук рассказал о подготовке обоснования строительства Трансафганской ж/д ,11:10 16.05.2025,https://ria.ru/20250516/overchuk-2017300982.html,Оверчук: обоснование трансафганской ж/д дороги будет готово в начале 2026 года,"Экономика,Москва,Россия,Афганистан,Алексей Оверчук"
Колумбия присоединится к Новому банку развития БРИКС ,11:08 16.05.2025,https://ria.ru/20250516/petro-2017300139.html,Петро: Колумбия запускает процесс присоединения к Новому банку развития БРИКС,"Колумбия,БРИКС,Новый банк развития,Густаво Петро,Шанхай,Дилма Руссефф,Экономика,Дурбан"
Оверчук рассказал о проектных предложениях Афганистана ,10:52 16.05.2025,https://ria.ru/20250516/rossija-2017294466.html,Оверчук: Россия получила от Афганистана перечень проектных предложений,"Экономика,Россия,Афганистан,Москва,Алексей Оверчук"
Оверчук заявил о возможном сотрудничестве с Кабулом в сфере строительства ,10:48 16.05.2025,https://ria.ru/20250516/rossija-2017292060.html,Оверчук: Россия видит возможности для строительства инфраструктуры в Афганистане,"Экономика,Казань,Россия,Афганистан,Алексей Оверчук,Кабул (город)"
Россия готова оказать Афганистану поддержку в освоении месторождений ,10:34 16.05.2025,https://ria.ru/20250516/overchuk-2017284430.html,Оверчук: Россия готова помочь Афганистану в добыче полезных ископаемых,"Экономика,Россия,Афганистан,Алексей Оверчук"
Мировые цены на нефть выросли ,08:42 16.05.2025,https://ria.ru/20250516/tseny-2017262645.html,Мировые цены на нефть выросли после двух дней снижения,"Экономика,Цены на нефть,США,Международное энергетическое агентство,Brent,WTI (нефть),Ситуация с курсами валют и ценами на нефть"
Нежданная оттепель. Вашингтон сделал шаг навстречу Москве ,08:00 16.05.2025,https://ria.ru/20250516/udobreniya-2017183515.html,Российские удобрения заняли свыше 21% американского рынка ,"Экономика,Россия,США,Канада,Евросоюз,удобрения"
Эксперт допустил падение мировых цен на золото ,06:08 16.05.2025,https://ria.ru/20250516/zoloto-2017255907.html,"Аналитик Потавин: золото может упасть в цене до 2950 долларов, но не ниже","Экономика,Пекин,Ближний Восток"
Хуснуллин пообещал увеличение лимитов по льготной ипотеке в новых регионах ,04:15 16.05.2025,https://realty.ria.ru/20250516/ipoteka-2017228735.html,Хуснуллин пообещал повышение лимитов по льготной ипотеке в новых регионах ,"Международный экономический форум ""Россия — Исламский мир: KazanForum"",Экономика,Ипотека,Казань,Россия,Марат Хуснуллин,Сбербанк России,Министерство финансов РФ (Минфин России)"
"Власти Алтайского края начали регистрацию на ""День сибирского поля"" ",04:07 16.05.2025,https://ria.ru/20250516/forum-2017250795.html,"Власти Алтайского края открыли регистрацию на форум ""День сибирского поля""","Алтайский край,Экономика,Алтайский край,Россия,Дальний Восток,Виктор Томенко,Оксана Лут,Министерство сельского хозяйства РФ (Минсельхоз России)"
"Совет директоров ""Русала"" рекомендовал акционерам не выплачивать дивиденды ",03:37 16.05.2025,https://ria.ru/20250516/dividendy-2017249123.html,"""Русал"" рекомендовал акционерам не выплачивать дивиденды по итогам 2024 года","Экономика,Русал,Китай,Олег Дерипаска,Виктор Вексельберг,Glencore International"
Россиян предупредили о росте цен на черешню и другие летние ягоды ,03:18 16.05.2025,https://ria.ru/20250516/yagody-2017244407.html,Доцент Ильяшенко: черешня и другие летние ягоды могут резко подорожать,"Экономика,Турция,Иран,Узбекистан,РЭУ имени Г. В. Плеханова,Черешня,Ягоды"
Крупнейший гидроузел в Дагестане открыли после реконструкции ,23:42 15.05.2025,https://ria.ru/20250515/gidrouzel-2017239366.html,Главный мелиоративный объект северного Дагестана ввели в эксплуатацию,"Республика Дагестан,Экономика,Кизлярский район,Министерство сельского хозяйства РФ (Минсельхоз России),Россия,Терек"
КЧР представила туристический и экономический потенциал в Казани ,22:00 15.05.2025,https://ria.ru/20250515/kchr-2017225545.html,КЧР представила туристический и экономический потенциал на выставке в Казани ,"Карачаево-Черкесская Республика,Экономика,Россия,Казань,Рашид Темрезов,Госдума РФ,Марат Хуснуллин"
Франция не смогла договориться с Китаем об отмене пошлин на коньяк ,21:24 15.05.2025,https://ria.ru/20250515/poshliny-2017220075.html,Франция пока не смогла договориться с КНР об отмене таможенных пошлин на коньяк,"Экономика,Китай,Франция,Париж,Евросоюз,Еврокомиссия"
ЦБ расширит требования к иностранным цифровым правам ,19:50 15.05.2025,https://ria.ru/20250515/tsb-2017204065.html,ЦБ расширит требования к иностранным цифровым правам с 26 мая,"Экономика,Технологии,Россия,Центральный Банк РФ (ЦБ РФ)"
Счетная палата к осени доложит Путину об итогах аудита нацпроектов ,19:35 15.05.2025,https://ria.ru/20250515/palata-2017201149.html,Счетная палата к осени доложит Путину об итогах аудита нацпроектов за 6 лет,"Экономика,Россия,Казань,Светлана Орлова,Владимир Путин,Галина Изотова"
"Российский рынок акций упал на 2,88 процента ",18:55 15.05.2025,https://ria.ru/20250515/mosbirzha-2017194206.html,"Мосбиржа: российский рынок акций упал на 2,88%","Экономика,Московская биржа,Ситуация с курсами валют и ценами на нефть"
Банки отказали клиентам в сомнительных операциях на полтриллиона рублей ,18:01 15.05.2025,https://ria.ru/20250515/banki-2017181572.html,Банки в 2024 году отказали в сомнительных операциях на полтриллиона рублей,"Экономика,Россия,Казань"
Индекс Мосбиржи замедлил падение после новостей из Стамбула ,17:40 15.05.2025,https://ria.ru/20250515/medinskiy--2017174179.html,Рынок акций в России замедлил снижение после слов Мединского в Стамбуле,"Стамбул,Экономика,Россия,Украина,Владимир Мединский,Владимир Зеленский,Московская биржа,В мире,Переговоры России и Украины в Стамбуле — 2025"
РЭЦ рассказал о возможностях экспорта продукции АПК через Ближний Восток ,17:39 15.05.2025,https://ria.ru/20250515/eksport-2017173360.html,РЭЦ рассказал об экспорте продукции АПК через Ближний Восток в Африку,"Африка,Экономика,Ближний Восток,ОАЭ,Российский экспортный центр (РЭЦ)"
РЭЦ: ОАЭ – страна возможностей для российского бизнеса ,17:13 15.05.2025,https://ria.ru/20250515/rets-2017164534.html,РЭЦ: российскому бизнесу следует активно использовать возможности развития в ОАЭ,"Экономика,ОАЭ,Россия,Российский экспортный центр (РЭЦ)"
РЭЦ рассказал об особенностях работы на рынках стран Персидского залива ,17:10 15.05.2025,https://ria.ru/20250515/rets-2017164063.html,РЭЦ объяснил специфику выхода предприятий РФ на рынок стран Персидского залива,"Экономика,Персидский залив,Россия,Российский экспортный центр (РЭЦ)"
В России за год изъяли более десяти миллионов литров нелегального алкоголя ,16:53 15.05.2025,https://ria.ru/20250515/alkogol-2017157853.html,В России в 2024 году изъяли более десяти миллионов литров нелегального алкоголя,"Экономика,Россия,Министерство финансов РФ (Минфин России)"
Продажи новых люксовых автомобилей в России выросли на пятнадцать процентов ,16:08 15.05.2025,https://ria.ru/20250515/rossija-2017143526.html,"""Автостат"": в России в апреле продажи люксовых автомобилей выросли на 15%","Экономика,Авто,Россия,Автостат,Bentley Motors,Rolls-Royce Motor Cars,Bentley Continental GT Speed,Lamborghini"
